name,stage,view_indices_1,view_indices_2,measurement_count,receiver_port_count,changes_termination,receiver_ohm,node_index,needs_zin
A0_H50,A0,5,,1,1,0,50,0,0
A0_Zin50,A0,6,,1,1,0,50,0,1
A0_H50_Zin50,A0,5,6,1,1,0,50,0,1
A1_H_12p5,A1,1,,1,1,1,12.5,0,0
A1_Zin_12p5,A1,2,,1,1,1,12.5,0,1
A1_H_Zin_12p5,A1,1,2,1,1,1,12.5,0,1
A1_H_25,A1,3,,1,1,1,25,0,0
A1_Zin_25,A1,4,,1,1,1,25,0,1
A1_H_Zin_25,A1,3,4,1,1,1,25,0,1
A1_H_100,A1,7,,1,1,1,100,0,0
A1_Zin_100,A1,8,,1,1,1,100,0,1
A1_H_Zin_100,A1,7,8,1,1,1,100,0,1
A1_H_200,A1,9,,1,1,1,200,0,0
A1_Zin_200,A1,10,,1,1,1,200,0,1
A1_H_Zin_200,A1,9,10,1,1,1,200,0,1
B_H50_repeat,B,5,17,2,1,0,50,0,0
B_H50_Hsecond,B,5,9,2,1,1,200,0,0
C_Hendpoint_loaded,C,13,,1,2,0,50,3,0
C_Hnode,C,14,,1,2,0,50,3,0
C_Hendpoint_Hnode,C,13,14,1,2,0,50,3,0
