scenario,scheme,stage,library,truth_group,n,truth_in_library_n,truth_set_covered_k,truth_set_coverage,coverage_low95,coverage_high95,mean_set_size,correct_unique_k,correct_unique_rate,correct_unique_low95,correct_unique_high95,false_unique_k,false_unique_rate,false_unique_low95,false_unique_high95,unique_k,ambiguous_k,low_confidence_k,rejected_k,nonempty_set_k,nonempty_set_rate,measurement_count,receiver_port_count,changes_termination
T20,A0_H50,A0,diagnostic_pair,ALL,200,200,183,0.915,0.868104129284345,0.946254249822524,1.835,0,0,0,0.0188453263772665,0,0,0,0.0188453263772665,0,180,7,13,187,0.935,1,1,0
T20,A0_H50,A0,diagnostic_pair,G003,100,100,96,0.96,0.901629285641121,0.984336696008452,1.89,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,0,93,3,4,96,0.96,1,1,0
T20,A0_H50,A0,diagnostic_pair,MIRROR_M3,100,100,87,0.87,0.790196485599236,0.922428325727595,1.78,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,0,87,4,9,91,0.91,1,1,0
T20,A0_H50,A0,original_three,ALL,400,300,285,0.95,0.919152966527256,0.969468359370653,0.96,62,0.155,0.122832586717539,0.193730896373125,7,0.0175,0.00850229110703811,0.035677072925558,69,8,290,33,376,0.94,1,1,0
T20,A0_H50,A0,original_three,G001,100,100,92,0.92,0.850018922990513,0.958906538515619,0.92,50,0.5,0.403831530365996,0.596168469634004,0,0,0,0.0369934982069855,50,0,33,17,92,0.92,1,1,0
T20,A0_H50,A0,original_three,G002,100,100,97,0.97,0.915480635709472,0.989745475975961,0.97,5,0.05,0.021543679154368,0.111750469231919,0,0,0,0.0369934982069855,5,0,92,3,97,0.97,1,1,0
T20,A0_H50,A0,original_three,G003,100,100,96,0.96,0.901629285641121,0.984336696008452,1,7,0.07,0.0343192610672727,0.137495147390735,0,0,0,0.0369934982069855,7,4,85,4,96,0.96,1,1,0
T20,A0_H50,A0,original_three,MIRROR_M3,100,0,0,NaN,NaN,NaN,0.95,0,0,0,0.0369934982069855,7,0.07,0.0343192610672727,0.137495147390735,7,4,80,9,91,0.91,1,1,0
T20,A0_Zin50,A0,diagnostic_pair,ALL,200,200,192,0.96,0.923067931799067,0.979594367933848,0.96,185,0.925,0.879956389763706,0.954025082815618,0,0,0,0.0188453263772665,185,0,0,15,192,0.96,1,1,0
T20,A0_Zin50,A0,diagnostic_pair,G003,100,100,99,0.99,0.945513803821295,0.998232567935859,0.99,99,0.99,0.945513803821295,0.998232567935859,0,0,0,0.0369934982069855,99,0,0,1,99,0.99,1,1,0
