seed,truth_id,scheme,single_best,multistart_best,max_distance_improvement,ranking_changed
1051001001,G001,H50,1,1,5.49977619002107e-10,0
1051001001,G001,Zin50,1,1,0.604415977379404,0
1051001001,G001,H50_Zin50,1,1,0.637908047210715,0
1051001001,G001,H25,1,1,8.27481416720843e-11,0
1051001001,G001,Zin25,1,1,1.21391772522905e-06,0
1051001001,G001,H25_Zin25,1,1,6.5058031806231e-07,0
1051001001,G001,M2_node,1,1,1.43662748364193e-10,0
1051001001,G001,M2_direct_joint,1,1,5.286882043265e-11,0
1051001002,G001,H50,1,1,3.35287353436797e-11,0
1051001002,G001,Zin50,1,1,0.904098278609126,0
1051001002,G001,H50_Zin50,1,1,0.846054729752922,0
1051001002,G001,H25,1,1,5.3277382505712e-11,0
1051001002,G001,Zin25,1,1,8.23102999092384e-08,0
1051001002,G001,H25_Zin25,1,1,4.1370600945001e-08,0
1051001002,G001,M2_node,1,1,1.1334932992213e-11,0
1051001002,G001,M2_direct_joint,1,1,2.97628588441512e-12,0
1051002001,G002,H50,2,2,1.47043710541084e-10,0
1051002001,G002,Zin50,2,2,1.53698184304807,0
1051002001,G002,H50_Zin50,2,2,1.08411190359587,0
1051002001,G002,H25,2,2,0,0
1051002001,G002,Zin25,2,2,0,0
1051002001,G002,H25_Zin25,2,2,0,0
1051002001,G002,M2_node,2,2,1.14853904165102e-10,0
1051002001,G002,M2_direct_joint,2,2,1.57262647348944e-10,0
1051002002,G002,H50,2,2,2.8421709430404e-14,0
1051002002,G002,Zin50,2,2,7.55956697240379e-09,0
1051002002,G002,H50_Zin50,2,2,4.02131528076666e-09,0
1051002002,G002,H25,2,2,2.12786233078077e-10,0
1051002002,G002,Zin25,2,2,2.35153807537358e-09,0
1051002002,G002,H25_Zin25,2,2,1.21207821557334e-09,0
1051002002,G002,M2_node,2,2,4.48299175559441e-11,0
1051002002,G002,M2_direct_joint,2,2,5.0108361904222e-11,0
1051003001,G003,H50,4,4,7.03392899481514e-11,0
1051003001,G003,Zin50,3,3,2.2373569663614e-09,0
1051003001,G003,H50_Zin50,3,3,1.0758250200696,0
1051003001,G003,H25,3,3,3.08739700471961e-11,0
1051003001,G003,Zin25,3,3,3.34136984747602e-09,0
1051003001,G003,H25_Zin25,3,3,2.42485498347378e-09,0
1051003001,G003,M2_node,3,3,0,0
1051003001,G003,M2_direct_joint,3,3,0,0
1051003002,G003,H50,4,3,1.92033944301784e-10,1
1051003002,G003,Zin50,3,3,5.82756087830205e-09,0
1051003002,G003,H50_Zin50,3,3,2.81519407785424e-09,0
1051003002,G003,H25,3,3,7.42415240395644e-10,0
1051003002,G003,Zin25,3,3,3.31900104066918e-08,0
1051003002,G003,H25_Zin25,3,3,1.49793308867885e-08,0
1051003002,G003,M2_node,3,3,1.75472969488055e-11,0
1051003002,G003,M2_direct_joint,3,3,7.62891971817226e-11,0
1051004001,MIRROR_M3,H50,3,3,2.73310263310123e-11,0
1051004001,MIRROR_M3,Zin50,4,4,4.53333543034645,0
1051004001,MIRROR_M3,H50_Zin50,4,4,2.83827419342785,0
1051004001,MIRROR_M3,H25,4,4,1.36059163935442e-10,0
1051004001,MIRROR_M3,Zin25,4,4,3.26531335304026e-09,0
1051004001,MIRROR_M3,H25_Zin25,4,4,2.27791474571859e-09,0
1051004001,MIRROR_M3,M2_node,4,4,1.18927090397847e-11,0
1051004001,MIRROR_M3,M2_direct_joint,4,4,7.62874208248832e-11,0
1051004002,MIRROR_M3,H50,3,3,6.23856521997368e-12,0
1051004002,MIRROR_M3,Zin50,4,4,1.42676981340628e-11,0
1051004002,MIRROR_M3,H50_Zin50,4,4,1.07434061646927e-11,0
1051004002,MIRROR_M3,H25,4,4,3.99476007828525e-11,0
1051004002,MIRROR_M3,Zin25,4,4,5.46265255252365e-11,0
1051004002,MIRROR_M3,H25_Zin25,4,4,4.5446313379216e-11,0
1051004002,MIRROR_M3,M2_node,4,4,2.74518185960915e-11,0
1051004002,MIRROR_M3,M2_direct_joint,4,4,3.92628152212637e-11,0
