regime,snr_db,variant,scheme,profile,library,truth_id,n,truth_in_library,correct_unique_k,false_unique_k,truth_covered_k,nonempty_k,ambiguous_k,low_confidence_k,rejected_k,mean_set_size,correct_unique_ci_low,correct_unique_ci_high,false_unique_ci_low,false_unique_ci_high,calibration_identity
on_on,20,nominal,H50,grid45,original_three,G001,30,1,15,0,29,29,0,0,15,0.966666666666667,0.331541256405338,0.668458743594662,0,0.113513393173968,feab688e720f110f2c10a954f36653c00829ba6068fbb8c8ce54d7c59919b611
on_on,20,nominal,Zin50,grid45,original_three,G001,30,1,28,0,28,28,0,0,2,0.933333333333333,0.786765416373831,0.98152297620873,0,0.113513393173968,52ee88b6992cfd1550aecb3131dd37cc936abdde76faf8f115bb17d11e7a52a0
on_on,20,nominal,H50_Zin50,grid45,original_three,G001,30,1,18,0,24,24,0,0,12,0.8,0.423203602533225,0.754093718831981,0,0.113513393173968,7c0c9f2f8db09529e5d21c3da0d233aada51ed03d533e9cd9fda54ae1b28af82
on_on,20,nominal,H25,grid45,original_three,G001,30,1,28,0,28,28,0,0,2,0.933333333333333,0.786765416373831,0.98152297620873,0,0.113513393173968,6e1f4517a2bed75d50889dae0d17647f9a09c2d3862e02418375d93c77235820
on_on,20,nominal,Zin25,grid45,original_three,G001,30,1,29,0,29,29,0,0,1,0.966666666666667,0.833296090085909,0.994091409618388,0,0.113513393173968,cbe3a84152cb33ba8e46615a3a5eabf1b82805da18608bcf93f86e508a3f13c0
on_on,20,nominal,H25_Zin25,grid45,original_three,G001,30,1,26,0,26,26,0,0,4,0.866666666666667,0.703186733179638,0.946903445159452,0,0.113513393173968,4da0e82187a20288805e99d31bd171eb03ae08b1aea5f11d6a3ba0c8972dea8b
on_on,20,nominal,M2_node,grid45,original_three,G001,30,1,27,0,28,28,0,0,3,0.933333333333333,0.74378917420816,0.965400111252666,0,0.113513393173968,83dc6cc8971385af3f08e1b6b9535dc2f0c415d3bd1517fb50b091c8b64b68b4
on_on,20,nominal,M2_direct_joint,grid45,original_three,G001,30,1,26,0,27,27,0,0,4,0.9,0.703186733179638,0.946903445159452,0,0.113513393173968,471d9b35e503a673674a21a83e360778a283f55f2d1e71cf4e56f0ab9aaf5649
on_on,20,nominal,M2_node_dominance,grid45,original_three,G001,30,1,26,0,27,27,0,0,4,0.9,0.703186733179638,0.946903445159452,0,0.113513393173968,dd37006ccbfb1cba44ed86a49c7265c6af629b04eac954d1826dfcb172817604
on_on,20,nominal,H50,continuous,original_three,G001,30,1,15,0,28,28,0,0,15,0.933333333333333,0.331541256405338,0.668458743594662,0,0.113513393173968,35745ba8d4053b549cea26904c187514da9a43a0dee316fe22368037bb94926b
