regime,snr_db,variant,scheme,profile,library,truth_id,event,applicable,k,n,ci_low,ci_high,observation_level
on_on,20,nominal,H50,grid45,original_three,G001,correct_unique,1,15,30,0.331541256405338,0.668458743594662,1
on_on,20,nominal,H50,grid45,original_three,G001,false_unique,1,0,30,0,0.113513393173968,1
on_on,20,nominal,H50,grid45,original_three,G001,truth_covered,1,29,30,0.833296090085909,0.994091409618388,1
on_on,20,nominal,H50,grid45,original_three,G001,nonempty,1,29,30,0.833296090085909,0.994091409618388,1
on_on,20,nominal,H50,grid45,original_three,G001,ambiguous,1,0,30,0,0.113513393173968,1
on_on,20,nominal,H50,grid45,original_three,G001,low_confidence,1,0,30,0,0.113513393173968,1
on_on,20,nominal,H50,grid45,original_three,G001,rejected,1,15,30,0.331541256405338,0.668458743594662,1
on_on,20,nominal,Zin50,grid45,original_three,G001,correct_unique,1,28,30,0.786765416373831,0.98152297620873,1
on_on,20,nominal,Zin50,grid45,original_three,G001,false_unique,1,0,30,0,0.113513393173968,1
on_on,20,nominal,Zin50,grid45,original_three,G001,truth_covered,1,28,30,0.786765416373831,0.98152297620873,1
on_on,20,nominal,Zin50,grid45,original_three,G001,nonempty,1,28,30,0.786765416373831,0.98152297620873,1
on_on,20,nominal,Zin50,grid45,original_three,G001,ambiguous,1,0,30,0,0.113513393173968,1
on_on,20,nominal,Zin50,grid45,original_three,G001,low_confidence,1,0,30,0,0.113513393173968,1
on_on,20,nominal,Zin50,grid45,original_three,G001,rejected,1,2,30,0.0184770237912704,0.213234583626169,1
on_on,20,nominal,H50_Zin50,grid45,original_three,G001,correct_unique,1,18,30,0.423203602533225,0.754093718831981,1
on_on,20,nominal,H50_Zin50,grid45,original_three,G001,false_unique,1,0,30,0,0.113513393173968,1
on_on,20,nominal,H50_Zin50,grid45,original_three,G001,truth_covered,1,24,30,0.626943035868518,0.904948928227101,1
on_on,20,nominal,H50_Zin50,grid45,original_three,G001,nonempty,1,24,30,0.626943035868518,0.904948928227101,1
on_on,20,nominal,H50_Zin50,grid45,original_three,G001,ambiguous,1,0,30,0,0.113513393173968,1
on_on,20,nominal,H50_Zin50,grid45,original_three,G001,low_confidence,1,0,30,0,0.113513393173968,1
on_on,20,nominal,H50_Zin50,grid45,original_three,G001,rejected,1,12,30,0.245906281168019,0.576796397466775,1
on_on,20,nominal,H25,grid45,original_three,G001,correct_unique,1,28,30,0.786765416373831,0.98152297620873,1
on_on,20,nominal,H25,grid45,original_three,G001,false_unique,1,0,30,0,0.113513393173968,1
on_on,20,nominal,H25,grid45,original_three,G001,truth_covered,1,28,30,0.786765416373831,0.98152297620873,1
on_on,20,nominal,H25,grid45,original_three,G001,nonempty,1,28,30,0.786765416373831,0.98152297620873,1
on_on,20,nominal,H25,grid45,original_three,G001,ambiguous,1,0,30,0,0.113513393173968,1
on_on,20,nominal,H25,grid45,original_three,G001,low_confidence,1,0,30,0,0.113513393173968,1
on_on,20,nominal,H25,grid45,original_three,G001,rejected,1,2,30,0.0184770237912704,0.213234583626169,1
on_on,20,nominal,Zin25,grid45,original_three,G001,correct_unique,1,29,30,0.833296090085909,0.994091409618388,1
on_on,20,nominal,Zin25,grid45,original_three,G001,false_unique,1,0,30,0,0.113513393173968,1
on_on,20,nominal,Zin25,grid45,original_three,G001,truth_covered,1,29,30,0.833296090085909,0.994091409618388,1
on_on,20,nominal,Zin25,grid45,original_three,G001,nonempty,1,29,30,0.833296090085909,0.994091409618388,1
on_on,20,nominal,Zin25,grid45,original_three,G001,ambiguous,1,0,30,0,0.113513393173968,1
on_on,20,nominal,Zin25,grid45,original_three,G001,low_confidence,1,0,30,0,0.113513393173968,1
on_on,20,nominal,Zin25,grid45,original_three,G001,rejected,1,1,30,0.00590859038161247,0.166703909914091,1
on_on,20,nominal,H25_Zin25,grid45,original_three,G001,correct_unique,1,26,30,0.703186733179638,0.946903445159452,1
on_on,20,nominal,H25_Zin25,grid45,original_three,G001,false_unique,1,0,30,0,0.113513393173968,1
on_on,20,nominal,H25_Zin25,grid45,original_three,G001,truth_covered,1,26,30,0.703186733179638,0.946903445159452,1
on_on,20,nominal,H25_Zin25,grid45,original_three,G001,nonempty,1,26,30,0.703186733179638,0.946903445159452,1
on_on,20,nominal,H25_Zin25,grid45,original_three,G001,ambiguous,1,0,30,0,0.113513393173968,1
on_on,20,nominal,H25_Zin25,grid45,original_three,G001,low_confidence,1,0,30,0,0.113513393173968,1
on_on,20,nominal,H25_Zin25,grid45,original_three,G001,rejected,1,4,30,0.0530965548405475,0.296813266820363,1
on_on,20,nominal,M2_node,grid45,original_three,G001,correct_unique,1,27,30,0.74378917420816,0.965400111252666,1
on_on,20,nominal,M2_node,grid45,original_three,G001,false_unique,1,0,30,0,0.113513393173968,1
on_on,20,nominal,M2_node,grid45,original_three,G001,truth_covered,1,28,30,0.786765416373831,0.98152297620873,1
on_on,20,nominal,M2_node,grid45,original_three,G001,nonempty,1,28,30,0.786765416373831,0.98152297620873,1
on_on,20,nominal,M2_node,grid45,original_three,G001,ambiguous,1,0,30,0,0.113513393173968,1
on_on,20,nominal,M2_node,grid45,original_three,G001,low_confidence,1,0,30,0,0.113513393173968,1
on_on,20,nominal,M2_node,grid45,original_three,G001,rejected,1,3,30,0.0345998887473343,0.25621082579184,1
on_on,20,nominal,M2_direct_joint,grid45,original_three,G001,correct_unique,1,26,30,0.703186733179638,0.946903445159452,1
on_on,20,nominal,M2_direct_joint,grid45,original_three,G001,false_unique,1,0,30,0,0.113513393173968,1
on_on,20,nominal,M2_direct_joint,grid45,original_three,G001,truth_covered,1,27,30,0.74378917420816,0.965400111252666,1
on_on,20,nominal,M2_direct_joint,grid45,original_three,G001,nonempty,1,27,30,0.74378917420816,0.965400111252666,1
on_on,20,nominal,M2_direct_joint,grid45,original_three,G001,ambiguous,1,0,30,0,0.113513393173968,1
on_on,20,nominal,M2_direct_joint,grid45,original_three,G001,low_confidence,1,0,30,0,0.113513393173968,1
on_on,20,nominal,M2_direct_joint,grid45,original_three,G001,rejected,1,4,30,0.0530965548405475,0.296813266820363,1
on_on,20,nominal,M2_node_dominance,grid45,original_three,G001,correct_unique,1,26,30,0.703186733179638,0.946903445159452,1
on_on,20,nominal,M2_node_dominance,grid45,original_three,G001,false_unique,1,0,30,0,0.113513393173968,1
on_on,20,nominal,M2_node_dominance,grid45,original_three,G001,truth_covered,1,27,30,0.74378917420816,0.965400111252666,1
on_on,20,nominal,M2_node_dominance,grid45,original_three,G001,nonempty,1,27,30,0.74378917420816,0.965400111252666,1
on_on,20,nominal,M2_node_dominance,grid45,original_three,G001,ambiguous,1,0,30,0,0.113513393173968,1
on_on,20,nominal,M2_node_dominance,grid45,original_three,G001,low_confidence,1,0,30,0,0.113513393173968,1
on_on,20,nominal,M2_node_dominance,grid45,original_three,G001,rejected,1,4,30,0.0530965548405475,0.296813266820363,1
on_on,20,nominal,H50,continuous,original_three,G001,correct_unique,1,15,30,0.331541256405338,0.668458743594662,1
on_on,20,nominal,H50,continuous,original_three,G001,false_unique,1,0,30,0,0.113513393173968,1
on_on,20,nominal,H50,continuous,original_three,G001,truth_covered,1,28,30,0.786765416373831,0.98152297620873,1
on_on,20,nominal,H50,continuous,original_three,G001,nonempty,1,28,30,0.786765416373831,0.98152297620873,1
on_on,20,nominal,H50,continuous,original_three,G001,ambiguous,1,0,30,0,0.113513393173968,1
on_on,20,nominal,H50,continuous,original_three,G001,low_confidence,1,0,30,0,0.113513393173968,1
on_on,20,nominal,H50,continuous,original_three,G001,rejected,1,15,30,0.331541256405338,0.668458743594662,1
on_on,20,nominal,Zin50,continuous,original_three,G001,correct_unique,1,28,30,0.786765416373831,0.98152297620873,1
on_on,20,nominal,Zin50,continuous,original_three,G001,false_unique,1,0,30,0,0.113513393173968,1
