domain,branch_length_m,diagnostic_seed,truth_id,candidate_id,local_fit_rms_ohm,dense_multistart_rms_ohm,missed_improvement_ohm,number_of_local_basins,dense_load_values,dense_main_points,dense_best_main_scale,dense_best_load_scale
on_grid,0.0001,892101001,WEAK_M1,WEAK_M1,0,0,0,12,4,401,1,1
on_grid,0.0001,892101001,WEAK_M1,WEAK_M3,0.0165675097989941,0.0165675097989941,0,16,4,401,0.999999918134238,1.19968331872552
on_grid,0.0001,892102001,WEAK_M3,WEAK_M1,0.016567928270922,0.016567928270922,0,16,4,401,1.00000008189628,1.19998924113308
on_grid,0.0001,892102001,WEAK_M3,WEAK_M3,0,0,0,12,4,401,1,1
off_grid,0.0001,892201001,WEAK_M1,WEAK_M1,2.38742777044807e-05,2.38742777044807e-05,0,20,4,401,1.01761390052557,1.17959051843327
off_grid,0.0001,892201001,WEAK_M1,WEAK_M3,0.0163516283426556,0.0163516283426556,0,20,4,401,1.01761380694367,1.19147486555085
off_grid,0.0001,892202001,WEAK_M3,WEAK_M1,0.0165727163481636,0.0165727163481636,0,16,4,401,0.987387282462554,0.800003696973917
off_grid,0.0001,892202001,WEAK_M3,WEAK_M3,0.000185036114186521,0.000185036114186521,0,16,4,401,0.987387225470587,1.08923746066832
on_grid,0.002,893101001,WEAK_M1,WEAK_M1,0,0,0,12,4,401,1,1
on_grid,0.002,893101001,WEAK_M1,WEAK_M3,0.331317266049654,0.331317266049654,0,16,4,401,0.999998363282733,1.19987758966398
on_grid,0.002,893102001,WEAK_M3,WEAK_M1,0.331317943103524,0.331317943103524,0,16,4,401,1.00000163615292,0.800004732839324
on_grid,0.002,893102001,WEAK_M3,WEAK_M3,0,0,0,12,4,401,1,1
off_grid,0.002,893201001,WEAK_M1,WEAK_M1,0.000136972375941407,0.000136972375941407,0,16,4,401,0.981117841093396,1.12892801293572
off_grid,0.002,893201001,WEAK_M1,WEAK_M3,0.333653086416235,0.333653086416235,0,16,4,401,0.981116758796755,1.19997195433336
off_grid,0.002,893202001,WEAK_M3,WEAK_M1,0.331225288514095,0.331225288514095,0,16,4,401,1.0078370999515,1.199999758499
off_grid,0.002,893202001,WEAK_M3,WEAK_M3,2.16010019823591e-05,2.16010019823591e-05,0,16,4,401,1.00783524860029,0.933841649564596
on_grid,0.01,894101001,WEAK_M1,WEAK_M1,0,0,0,12,4,401,1,1
on_grid,0.01,894101001,WEAK_M1,WEAK_M3,1.65676538271224,1.65676538271224,0,16,4,401,0.999991813496103,1.1999937064907
on_grid,0.01,894102001,WEAK_M3,WEAK_M1,1.65677452214671,1.65677452214671,0,16,4,401,1.00000817293352,0.800000087620695
on_grid,0.01,894102001,WEAK_M3,WEAK_M3,0,0,0,12,4,401,1,1
off_grid,0.01,894201001,WEAK_M1,WEAK_M1,3.4033720187894e-05,3.4033720187894e-05,0,16,4,401,0.9859691535414,1.00347097698009
off_grid,0.01,894201001,WEAK_M1,WEAK_M3,1.65916597520682,1.65916597520682,0,16,4,401,0.985963872810148,1.19998995096964
off_grid,0.01,894202001,WEAK_M3,WEAK_M1,1.65894464944261,1.65894464944261,0,16,4,401,1.00226934217977,0.800001863763101
off_grid,0.01,894202001,WEAK_M3,WEAK_M3,1.86592437115082e-05,1.86592437115082e-05,0,16,4,401,1.00226127699533,1.13119343873934
