domain,repeat_count,method,passing_grid_count,smallest_tested_difference_ohm,branch_length_m
on_grid,1,stage7a4_four_state,0,NaN,NaN
on_grid,1,pair_likelihood_gap,3,0.331879075992818,0.002
on_grid,4,stage7a4_four_state,0,NaN,NaN
on_grid,4,pair_likelihood_gap,3,0.331879075992818,0.002
on_grid,16,stage7a4_four_state,1,1.65957440309405,0.01
on_grid,16,pair_likelihood_gap,5,0.0829697852914885,0.0005
on_grid,64,stage7a4_four_state,1,1.65957440309405,0.01
on_grid,64,pair_likelihood_gap,5,0.0829697852914885,0.0005
on_grid,256,stage7a4_four_state,3,0.331879075992818,0.002
on_grid,256,pair_likelihood_gap,7,0.0165960714530399,0.0001
on_grid,1024,stage7a4_four_state,3,0.165938406629716,0.001
on_grid,1024,pair_likelihood_gap,7,0.0165960714530399,0.0001
off_grid,1,stage7a4_four_state,0,NaN,NaN
off_grid,1,pair_likelihood_gap,0,NaN,NaN
off_grid,4,stage7a4_four_state,0,NaN,NaN
off_grid,4,pair_likelihood_gap,0,NaN,NaN
off_grid,16,stage7a4_four_state,0,NaN,NaN
off_grid,16,pair_likelihood_gap,0,NaN,NaN
off_grid,64,stage7a4_four_state,0,NaN,NaN
off_grid,64,pair_likelihood_gap,0,NaN,NaN
off_grid,256,stage7a4_four_state,0,NaN,NaN
off_grid,256,pair_likelihood_gap,0,NaN,NaN
off_grid,1024,stage7a4_four_state,0,NaN,NaN
off_grid,1024,pair_likelihood_gap,0,NaN,NaN
