domain,branch_length_m,fixed_rms_difference_ohm,repeat_count,method,truth_group,n,correct_unique_k,correct_unique_rate,correct_unique_low95,correct_unique_high95,false_unique_k,false_unique_rate,false_unique_low95,false_unique_high95,truth_covered_k,best_is_truth_k,mean_candidate_set_size,unique_k,ambiguous_k,low_confidence_k,rejected_k
on_grid,0.0001,0.0165960714530399,1,stage7a4_four_state,ALL,200,0,0,0,0.0188453263772665,0,0,0,0.0188453263772665,194,108,1.935,0,190,0,10
on_grid,0.0001,0.0165960714530399,1,stage7a4_four_state,WEAK_M1,100,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,96,54,1.93,0,94,0,6
on_grid,0.0001,0.0165960714530399,1,stage7a4_four_state,WEAK_M3,100,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,98,54,1.94,0,96,0,4
on_grid,0.0001,0.0165960714530399,1,pair_likelihood_gap,ALL,200,15,0.075,0.0459749171843821,0.120043610236294,11,0.055,0.0309853417034589,0.0957869987723083,189,108,1.87,26,174,0,0
on_grid,0.0001,0.0165960714530399,1,pair_likelihood_gap,WEAK_M1,100,8,0.08,0.0410934614843807,0.149981077009487,7,0.07,0.0343192610672727,0.137495147390735,93,54,1.85,15,85,0,0
on_grid,0.0001,0.0165960714530399,1,pair_likelihood_gap,WEAK_M3,100,7,0.07,0.0343192610672727,0.137495147390735,4,0.04,0.0156633039915476,0.098370714358879,96,54,1.89,11,89,0,0
on_grid,0.0001,0.0165960714530399,4,stage7a4_four_state,ALL,200,0,0,0,0.0188453263772665,0,0,0,0.0188453263772665,188,102,1.885,0,188,1,11
on_grid,0.0001,0.0165960714530399,4,stage7a4_four_state,WEAK_M1,100,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,95,48,1.9,0,95,0,5
on_grid,0.0001,0.0165960714530399,4,stage7a4_four_state,WEAK_M3,100,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,93,54,1.87,0,93,1,6
on_grid,0.0001,0.0165960714530399,4,pair_likelihood_gap,ALL,200,22,0.11,0.0737724446012531,0.160926909973015,4,0.02,0.00780442641634949,0.0502870869058264,196,102,1.87,26,174,0,0
on_grid,0.0001,0.0165960714530399,4,pair_likelihood_gap,WEAK_M1,100,9,0.09,0.0480725400025652,0.162262128527163,1,0.01,0.00176743206414065,0.0544861961787052,99,48,1.9,10,90,0,0
on_grid,0.0001,0.0165960714530399,4,pair_likelihood_gap,WEAK_M3,100,13,0.13,0.0775716742724052,0.209803514400764,3,0.03,0.0102545240240389,0.0845193642905274,97,54,1.84,16,84,0,0
on_grid,0.0001,0.0165960714530399,16,stage7a4_four_state,ALL,200,0,0,0,0.0188453263772665,0,0,0,0.0188453263772665,196,122,1.96,0,196,0,4
on_grid,0.0001,0.0165960714530399,16,stage7a4_four_state,WEAK_M1,100,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,97,60,1.94,0,97,0,3
