scheme_index,flow,budget,A_n,F_n,set_threshold,fit_threshold,class_thresholds,calibration_identity,bank_identity,search_identity
1,A,0,150,150,NaN,1.23800815956167,[1.328279055417383 1.047101931972759 0.9490504475665447],f3143b4a2d204a9d8e25599f27309a6d8d7753f9a8f0d08675e6078e09affed3,eb5d57537f45f1f7d11c82a05f427e94cc681a14982d0571180ac301d89b2a3d,3402611123d6de65745e1838f77df00e7394b633ed5f8c9415990113e43f2f97
1,B,0,150,150,0,1.31440311952039,[],a2a9d053f34d9be0b3a89f28bbba26487eb003b05608c0d14f8a016cad0f17a0,eb5d57537f45f1f7d11c82a05f427e94cc681a14982d0571180ac301d89b2a3d,3402611123d6de65745e1838f77df00e7394b633ed5f8c9415990113e43f2f97
1,C,7,150,150,2.88657986402541e-15,1.31440311952039,[],a6a0ff8e1d521a8accafa9a9cece22e246c83b1499415639f263f3ed9c4bc843,eb5d57537f45f1f7d11c82a05f427e94cc681a14982d0571180ac301d89b2a3d,3402611123d6de65745e1838f77df00e7394b633ed5f8c9415990113e43f2f97
1,C,10,150,150,2.88657986402541e-15,1.31440311952039,[],6e53f818a6ec9c230feb9535f224e5abb0fb1f111b18aa7707c9dd3a595c17ae,eb5d57537f45f1f7d11c82a05f427e94cc681a14982d0571180ac301d89b2a3d,3402611123d6de65745e1838f77df00e7394b633ed5f8c9415990113e43f2f97
2,A,0,150,150,NaN,1.10027216438571,[1.128116112462463 1.101925768145372 1.066101070455439],93e05a2d900028f7a811a18f7c06ed467fc0fdf1a894b91cdee4b0ce6021fef7,eb5d57537f45f1f7d11c82a05f427e94cc681a14982d0571180ac301d89b2a3d,3402611123d6de65745e1838f77df00e7394b633ed5f8c9415990113e43f2f97
2,B,0,150,150,0,1.1775097320874,[],ada12271b22eb153edfb8b21028be1513d3ac43b11797eb30c21cb2f284d7d6f,eb5d57537f45f1f7d11c82a05f427e94cc681a14982d0571180ac301d89b2a3d,3402611123d6de65745e1838f77df00e7394b633ed5f8c9415990113e43f2f97
2,C,7,150,150,0,1.1775097320874,[],e0c41422766a0980a747fe5ec1ff420db2dbc43bef387c1f962be54492175f0c,eb5d57537f45f1f7d11c82a05f427e94cc681a14982d0571180ac301d89b2a3d,3402611123d6de65745e1838f77df00e7394b633ed5f8c9415990113e43f2f97
2,C,10,150,150,0,1.1775097320874,[],33c9eafc2775bd907fff31920fae3fd1970dfcb4384fab5843c0aad84e89d01d,eb5d57537f45f1f7d11c82a05f427e94cc681a14982d0571180ac301d89b2a3d,3402611123d6de65745e1838f77df00e7394b633ed5f8c9415990113e43f2f97
3,A,0,150,150,NaN,1.15221686819438,[1.195946216246067 1.04694954883386 0.9786672376092469],3e85cca35367e7681c1af427af44fa3cc473b77212312de0dabdf9e37e673c80,eb5d57537f45f1f7d11c82a05f427e94cc681a14982d0571180ac301d89b2a3d,3402611123d6de65745e1838f77df00e7394b633ed5f8c9415990113e43f2f97
3,B,0,150,150,0,1.18955835929222,[],476eacaf4b8edbbadf5e49bd3b6eee213fcefec84d8c1830d9c53f07b806a4cb,eb5d57537f45f1f7d11c82a05f427e94cc681a14982d0571180ac301d89b2a3d,3402611123d6de65745e1838f77df00e7394b633ed5f8c9415990113e43f2f97
3,C,7,150,150,0,1.18955835929222,[],5cbcc32c6ab5ebeb6b5b5d515f9d81616452fd5134725cd80dac9f4244945023,eb5d57537f45f1f7d11c82a05f427e94cc681a14982d0571180ac301d89b2a3d,3402611123d6de65745e1838f77df00e7394b633ed5f8c9415990113e43f2f97
3,C,10,150,150,0,1.18955835929222,[],c782921f812c7096cf0b82bdaf8810edab78fa26f20bfc56e8a769851198832e,eb5d57537f45f1f7d11c82a05f427e94cc681a14982d0571180ac301d89b2a3d,3402611123d6de65745e1838f77df00e7394b633ed5f8c9415990113e43f2f97
