split,scenario,scheme,flow,budget,truth_id,candidate_id,signature,rank,distance,fit_main_scale,fit_load_scale,generated,truth_candidate,in_candidate_set,decision_state
T,G001,H50,A,0,G001,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1.11445403000241,1.01093262485991,1.1999994404762,0,1,1,UNIQUE_CONFIDENT
T,G001,H50,A,0,G001,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",3,5.79183003509073,1.01078448744817,1.1999994404762,0,0,0,UNIQUE_CONFIDENT
T,G001,H50,A,0,G001,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",2,5.72014734861887,1.01110083202613,1.1999994404762,0,0,0,UNIQUE_CONFIDENT
T,G001,H50,A,0,G001,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1.27639100940411,1.00143976634516,1.1999994404762,0,1,1,REJECTED
T,G001,H50,A,0,G001,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",3,5.84351649363336,1.00134568799735,1.1999994404762,0,0,0,REJECTED
T,G001,H50,A,0,G001,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",2,5.70498977527019,1.00165811119169,1.1999994404762,0,0,0,REJECTED
T,G001,H50,A,0,G001,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1.14804057863661,0.984554960228538,1.1999994404762,0,1,1,UNIQUE_CONFIDENT
T,G001,H50,A,0,G001,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",3,5.95323086743849,0.984612710387495,1.1999994404762,0,0,0,UNIQUE_CONFIDENT
T,G001,H50,A,0,G001,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",2,5.87823027208688,0.984473188754556,1.1999994404762,0,0,0,UNIQUE_CONFIDENT
T,G001,H50,A,0,G001,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1.21364349320771,1.00777534049972,1.1999994404762,0,1,1,UNIQUE_CONFIDENT
T,G001,H50,A,0,G001,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",3,5.8675202979229,1.00793630600172,1.1999994404762,0,0,0,UNIQUE_CONFIDENT
T,G001,H50,A,0,G001,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",2,5.81559189179054,1.00806731987957,1.1999994404762,0,0,0,UNIQUE_CONFIDENT
T,G001,H50,A,0,G001,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1.29724941785984,1.01160272678445,1.1999994404762,0,1,1,REJECTED
T,G001,H50,A,0,G001,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",3,5.94050672274103,1.01172097735442,1.1999994404762,0,0,0,REJECTED
T,G001,H50,A,0,G001,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",2,5.90798384956259,1.01175149043801,1.1999994404762,0,0,0,REJECTED
T,G001,H50,A,0,G001,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1.1282845840242,0.984323863681174,1.1999994404762,0,1,1,UNIQUE_CONFIDENT
T,G001,H50,A,0,G001,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",3,5.75551769751001,0.98439285250326,1.1999994404762,0,0,0,UNIQUE_CONFIDENT
T,G001,H50,A,0,G001,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",2,5.71327515675002,0.984612914384019,1.1999994404762,0,0,0,UNIQUE_CONFIDENT
T,G001,H50,A,0,G001,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1.27083093979332,1.00136277859386,1.1999994404762,0,1,1,REJECTED
T,G001,H50,A,0,G001,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",3,5.80611202680489,1.00125320919016,1.1999994404762,0,0,0,REJECTED
T,G001,H50,A,0,G001,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",2,5.72969862912105,1.00149576738718,1.1999994404762,0,0,0,REJECTED
T,G001,H50,A,0,G001,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1.17407747434397,1.00251689359147,1.1999994404762,0,1,1,UNIQUE_CONFIDENT
T,G001,H50,A,0,G001,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",3,6.04096678685818,1.00271828423313,1.1999994404762,0,0,0,UNIQUE_CONFIDENT
T,G001,H50,A,0,G001,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",2,5.92410522832399,1.00295634134765,1.1999994404762,0,0,0,UNIQUE_CONFIDENT
T,G001,H50,A,0,G001,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1.13989531194514,1.01896931389077,1.1999994404762,0,1,1,UNIQUE_CONFIDENT
T,G001,H50,A,0,G001,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",3,5.85521341326115,1.01909864908159,1.1999994404762,0,0,0,UNIQUE_CONFIDENT
T,G001,H50,A,0,G001,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",2,5.84303768213295,1.01914241634682,1.1999994404762,0,0,0,UNIQUE_CONFIDENT
T,G001,H50,A,0,G001,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1.12547310313185,1.00868207921503,1.1999994404762,0,1,1,UNIQUE_CONFIDENT
T,G001,H50,A,0,G001,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",3,5.89632350243653,1.00884409889941,1.1999994404762,0,0,0,UNIQUE_CONFIDENT
T,G001,H50,A,0,G001,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",2,5.77762081604646,1.00901659118755,1.1999994404762,0,0,0,UNIQUE_CONFIDENT
T,G001,H50,A,0,G001,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1.10566334937362,1.00405288323459,1.1999994404762,0,1,1,UNIQUE_CONFIDENT
T,G001,H50,A,0,G001,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",3,6.04365579218467,1.0038849759254,1.1999994404762,0,0,0,UNIQUE_CONFIDENT
T,G001,H50,A,0,G001,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",2,5.87686770936899,1.00387963100908,1.1999994404762,0,0,0,UNIQUE_CONFIDENT
T,G001,H50,A,0,G001,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1.24431930664062,0.982435556400305,1.1999994404762,0,1,1,REJECTED
T,G001,H50,A,0,G001,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",3,6.01631441305891,0.982467747065064,1.1999994404762,0,0,0,REJECTED
T,G001,H50,A,0,G001,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",2,5.97927713136408,0.982509159445474,1.1999994404762,0,0,0,REJECTED
T,G001,H50,A,0,G001,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1.32982596977033,0.997563990340832,1.1999994404762,0,1,0,REJECTED
T,G001,H50,A,0,G001,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",3,5.95474175146787,0.997331435855948,1.1999994404762,0,0,0,REJECTED
T,G001,H50,A,0,G001,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",2,5.91237216800871,0.998022617894373,1.1999994404762,0,0,0,REJECTED
T,G001,H50,A,0,G001,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1.18487254658676,1.00893446011498,1.1999994404762,0,1,1,UNIQUE_CONFIDENT
T,G001,H50,A,0,G001,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",2,5.97498151363065,1.00875111391723,1.1999994404762,0,0,0,UNIQUE_CONFIDENT
T,G001,H50,A,0,G001,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",3,5.98095726856858,1.00896816050787,1.1999994404762,0,0,0,UNIQUE_CONFIDENT
T,G001,H50,A,0,G001,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1.06726432638321,0.998908212980372,1.1999994404762,0,1,1,UNIQUE_CONFIDENT
T,G001,H50,A,0,G001,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",2,5.93206596495112,0.999146110544969,1.1999994404762,0,0,0,UNIQUE_CONFIDENT
T,G001,H50,A,0,G001,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",3,5.95911085811386,0.999179588262315,1.1999994404762,0,0,0,UNIQUE_CONFIDENT
T,G001,H50,A,0,G001,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1.14912589659796,0.987508862219838,1.1999994404762,0,1,1,UNIQUE_CONFIDENT
T,G001,H50,A,0,G001,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",3,5.80733509276992,0.987321128499931,1.1999994404762,0,0,0,UNIQUE_CONFIDENT
T,G001,H50,A,0,G001,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",2,5.79365626174323,0.987411347389745,1.1999994404762,0,0,0,UNIQUE_CONFIDENT
T,G001,H50,A,0,G001,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1.1194282209305,1.00095569397386,1.1999994404762,0,1,1,UNIQUE_CONFIDENT
