scheme,flow,truth_id,candidate_id,rank,distance,in_candidate_set,state
H50,A,T3,T3,2,0.999918967573039,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T4_NEAR_T3,1,0.999918924192311,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T5,3,0.999918967573043,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T3,2,0.974692046388872,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T4_NEAR_T3,3,0.974692164200243,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T5,1,0.974692046388869,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T3,2,0.974692046388872,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T4_NEAR_T3,3,0.974692164200243,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T5,1,0.974692046388869,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T3,1,0.999117844824787,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T4_NEAR_T3,3,0.999117962782244,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T5,2,0.999117844824789,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T3,2,0.981755049269543,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T4_NEAR_T3,3,0.981755226452503,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T5,1,0.981755049269542,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T3,2,0.981755049269543,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T4_NEAR_T3,3,0.981755226452503,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T5,1,0.981755049269542,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T3,1,1.00830199165379,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T4_NEAR_T3,3,1.00830202833325,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T5,2,1.0083019916538,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T3,2,1.01047696668035,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T4_NEAR_T3,3,1.01047712443102,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T5,1,1.01047696668035,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T3,2,1.01047696668035,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T4_NEAR_T3,3,1.01047712443102,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T5,1,1.01047696668035,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T3,2,0.999898653374123,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T4_NEAR_T3,1,0.999898552140218,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T5,3,0.999898653374123,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T3,2,0.973572192667674,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T4_NEAR_T3,1,0.973571963906643,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T5,3,0.973572192667675,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T3,2,0.973572192667674,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T4_NEAR_T3,1,0.973571963906643,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T5,3,0.973572192667675,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T3,2,0.917682125185774,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T4_NEAR_T3,1,0.917682093702824,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T5,3,0.917682125185776,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T3,3,0.90051303188784,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T4_NEAR_T3,1,0.900512979822591,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T5,2,0.900513031887839,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T3,3,0.90051303188784,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T4_NEAR_T3,1,0.900512979822591,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T5,2,0.900513031887839,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T3,3,0.986763742307802,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T4_NEAR_T3,1,0.986763672030838,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T5,2,0.986763742307801,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T3,3,1.03605660771073,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T4_NEAR_T3,1,1.03605638988876,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T5,2,1.03605660771073,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T3,3,1.03605660771073,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T4_NEAR_T3,1,1.03605638988876,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T5,2,1.03605660771073,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T3,2,0.974444177351655,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T4_NEAR_T3,1,0.974443989000664,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T5,3,0.974444177351655,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T3,3,0.934866291904006,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T4_NEAR_T3,1,0.934866150971164,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T5,2,0.934866291904005,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T3,3,0.934866291904006,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T4_NEAR_T3,1,0.934866150971164,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T5,2,0.934866291904005,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T3,1,0.950259672546871,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T4_NEAR_T3,3,0.950259798544857,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T5,2,0.950259672546871,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T3,1,0.883028709983147,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T4_NEAR_T3,3,0.883028829674697,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T5,1,0.883028709983147,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T3,1,0.883028709983147,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T4_NEAR_T3,3,0.883028829674697,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T5,1,0.883028709983147,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T3,2,0.922629668082556,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T4_NEAR_T3,1,0.922629577546833,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T5,3,0.922629668082556,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T3,3,0.917844272849056,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T4_NEAR_T3,1,0.917844113041093,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T5,2,0.917844272849054,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T3,3,0.917844272849056,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T4_NEAR_T3,1,0.917844113041093,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T5,2,0.917844272849054,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T3,2,1.10588521796712,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T4_NEAR_T3,1,1.10588521629253,0,MULTIPLE_AMBIGUOUS
H50,A,T3,T5,3,1.10588521796713,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T3,2,1.20557831716059,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T4_NEAR_T3,3,1.20557851888631,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T5,1,1.20557831716059,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T3,2,1.20557831716059,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T4_NEAR_T3,3,1.20557851888631,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T5,1,1.20557831716059,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T3,2,0.848822107523677,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T4_NEAR_T3,1,0.848821892497876,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T5,3,0.848822107523679,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T3,3,0.863039388262087,1,MULTIPLE_AMBIGUOUS
