split,scenario,scheme,flow,budget,truth_id,truth_signature,truth_in_library,library_out,domain_out,parameter_seed,noise_seed,true_main_scale,true_load_scale,candidate_count,candidate_set,set_size,best_candidate,truth_candidate_rank,truth_active,truth_generated,truth_pruned,truth_covered,correct_unique,false_unique,library_out_nonempty,domain_out_accepted,state,reason,distance_1,distance_2,margin,fit_statistic,fit_threshold,search_truncated,optimizer_evaluations,forward_model_calls
T,G001,H50,A,0,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,0,0,105100001,205100001,1.01130078768643,0.962930318236969,3,G001,1,G001,1,1,0,0,1,1,0,0,0,UNIQUE_CONFIDENT,single_candidate_with_margin,1.11445403000241,5.72014734861887,4.60569331861646,1.11445403000241,1.23800815956167,0,132,132
T,G001,H50,A,0,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,0,0,105100002,205100002,1.00117762201509,1.08950290181416,3,G001,1,G001,1,1,0,0,1,0,0,0,0,REJECTED,fit_quality_gate,1.27639100940411,5.70498977527019,4.42859876586607,1.27639100940411,1.23800815956167,0,138,138
T,G001,H50,A,0,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,0,0,105100003,205100003,0.984759506045676,1.02720540607408,3,G001,1,G001,1,1,0,0,1,1,0,0,0,UNIQUE_CONFIDENT,single_candidate_with_margin,1.14804057863661,5.87823027208688,4.73018969345026,1.14804057863661,1.23800815956167,0,128,128
T,G001,H50,A,0,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,0,0,105100004,205100004,1.00803530852974,0.96759907991996,3,G001,1,G001,1,1,0,0,1,1,0,0,0,UNIQUE_CONFIDENT,single_candidate_with_margin,1.21364349320771,5.81559189179054,4.60194839858283,1.21364349320771,1.23800815956167,0,132,132
T,G001,H50,A,0,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,0,0,105100005,205100005,1.01190161902295,1.1020435043837,3,G001,1,G001,1,1,0,0,1,0,0,0,0,REJECTED,fit_quality_gate,1.29724941785984,5.90798384956259,4.61073443170275,1.29724941785984,1.23800815956167,0,132,132
T,G001,H50,A,0,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,0,0,105100006,205100006,0.983890126328253,0.979102549791537,3,G001,1,G001,1,1,0,0,1,1,0,0,0,UNIQUE_CONFIDENT,single_candidate_with_margin,1.1282845840242,5.71327515675002,4.58499057272582,1.1282845840242,1.23800815956167,0,132,132
T,G001,H50,A,0,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,0,0,105100007,205100007,1.00158288339419,0.948033944101689,3,G001,1,G001,1,1,0,0,1,0,0,0,0,REJECTED,fit_quality_gate,1.27083093979332,5.72969862912105,4.45886768932773,1.27083093979332,1.23800815956167,0,136,136
T,G001,H50,A,0,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,0,0,105100008,205100008,1.00240845332167,1.15619675294995,3,G001,1,G001,1,1,0,0,1,1,0,0,0,UNIQUE_CONFIDENT,single_candidate_with_margin,1.17407747434397,5.92410522832399,4.75002775398002,1.17407747434397,1.23800815956167,0,130,130
T,G001,H50,A,0,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,0,0,105100009,205100009,1.01902534910768,1.03155070260722,3,G001,1,G001,1,1,0,0,1,1,0,0,0,UNIQUE_CONFIDENT,single_candidate_with_margin,1.13989531194514,5.84303768213295,4.70314237018782,1.13989531194514,1.23800815956167,0,126,126
T,G001,H50,A,0,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,0,0,105100010,205100010,1.00856441692474,1.06628751396675,3,G001,1,G001,1,1,0,0,1,1,0,0,0,UNIQUE_CONFIDENT,single_candidate_with_margin,1.12547310313185,5.77762081604646,4.6521477129146,1.12547310313185,1.23800815956167,0,132,132
