candidate_id,signature,initial_library,development_family,test_family,grammar_valid
G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,0,0,1
MIRROR_M3,"M=20,20,20,20,|T=0,0,0,0,|B=3,15,1,50;",0,0,1,1
DOUBLE_M3,"M=20,20,20,20,|T=0,0,0,0,|B=3,15,1,50;3,15,1,50;",0,0,1,1
G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",1,0,0,1
ADD_M2_M3,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;3,15,1,50;",0,0,1,1
DOUBLE_M2,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;2,15,1,50;",0,1,0,1
G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",1,0,0,1
ADD_M1_M3,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;3,15,1,50;",0,0,1,1
ADD_M1_M2,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;2,15,1,50;",0,1,0,1
DOUBLE_M1,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;1,15,1,50;",0,0,0,1
