scheme_index,flow,budget,A_n,F_n,set_threshold,fit_threshold,class_thresholds,calibration_identity,bank_identity,search_identity
1,A,0,12,12,NaN,Inf,[Inf Inf Inf],0b2417e55485f9c292ba8a0de777227031b0196a882616997a03d7e352d71c8b,eb5d57537f45f1f7d11c82a05f427e94cc681a14982d0571180ac301d89b2a3d,3402611123d6de65745e1838f77df00e7394b633ed5f8c9415990113e43f2f97
1,B,0,12,12,Inf,Inf,[],acc41e7fe34dc1cc9ae8846278c0ea3d912fcf6f7d5abc95c47317dc3ce58e53,eb5d57537f45f1f7d11c82a05f427e94cc681a14982d0571180ac301d89b2a3d,3402611123d6de65745e1838f77df00e7394b633ed5f8c9415990113e43f2f97
1,C,7,12,12,Inf,Inf,[],c3e1c39d9ad48bada607d184fc9401bd60eb4c8100651be9c544f3f23aa35134,eb5d57537f45f1f7d11c82a05f427e94cc681a14982d0571180ac301d89b2a3d,3402611123d6de65745e1838f77df00e7394b633ed5f8c9415990113e43f2f97
1,C,10,12,12,Inf,Inf,[],c2f40c04458a6b51b7cc4b39407f83ae35f914060f26d622fd580b1e73551b74,eb5d57537f45f1f7d11c82a05f427e94cc681a14982d0571180ac301d89b2a3d,3402611123d6de65745e1838f77df00e7394b633ed5f8c9415990113e43f2f97
2,A,0,12,12,NaN,Inf,[Inf Inf Inf],9c063d15ede3bddc797d88465882bd6d8085eee1d157c5424465c7a16b6b634b,eb5d57537f45f1f7d11c82a05f427e94cc681a14982d0571180ac301d89b2a3d,3402611123d6de65745e1838f77df00e7394b633ed5f8c9415990113e43f2f97
2,B,0,12,12,Inf,Inf,[],4e0ac7201cf1ee77b8b80e137f128bdd61f13a13a7c476e905c51d9697416561,eb5d57537f45f1f7d11c82a05f427e94cc681a14982d0571180ac301d89b2a3d,3402611123d6de65745e1838f77df00e7394b633ed5f8c9415990113e43f2f97
2,C,7,12,12,Inf,Inf,[],9c43a5f3f41c30c34e07fbaf1f923f50e8c493d864148cec0d9d3d5262fa030a,eb5d57537f45f1f7d11c82a05f427e94cc681a14982d0571180ac301d89b2a3d,3402611123d6de65745e1838f77df00e7394b633ed5f8c9415990113e43f2f97
2,C,10,12,12,Inf,Inf,[],56c4c72702afec6be5f46becc0f984d6ee4e82b34e59820ebe2a23c4e91ed7ac,eb5d57537f45f1f7d11c82a05f427e94cc681a14982d0571180ac301d89b2a3d,3402611123d6de65745e1838f77df00e7394b633ed5f8c9415990113e43f2f97
3,A,0,12,12,NaN,Inf,[Inf Inf Inf],6992c1c746e62b8890f30aaf4a227161c362da3524863658e6a4bd5a504cf005,eb5d57537f45f1f7d11c82a05f427e94cc681a14982d0571180ac301d89b2a3d,3402611123d6de65745e1838f77df00e7394b633ed5f8c9415990113e43f2f97
3,B,0,12,12,Inf,Inf,[],aef73eed5ddeefbb9188c9efebb8f55e81a160e0d849eafadc221d250f09663f,eb5d57537f45f1f7d11c82a05f427e94cc681a14982d0571180ac301d89b2a3d,3402611123d6de65745e1838f77df00e7394b633ed5f8c9415990113e43f2f97
3,C,7,12,12,Inf,Inf,[],878e850e4f178b9de3f039b6e18e54c9d137413f53a1fe5deac602726ef4c1bf,eb5d57537f45f1f7d11c82a05f427e94cc681a14982d0571180ac301d89b2a3d,3402611123d6de65745e1838f77df00e7394b633ed5f8c9415990113e43f2f97
3,C,10,12,12,Inf,Inf,[],120ced46c12f65132a41c087e8c2cbd5ecc5fee6f5cb4fb644e1dbcceef65de4,eb5d57537f45f1f7d11c82a05f427e94cc681a14982d0571180ac301d89b2a3d,3402611123d6de65745e1838f77df00e7394b633ed5f8c9415990113e43f2f97
