split,scenario,scheme,flow,budget,truth_id,candidate_id,signature,rank,distance,fit_main_scale,fit_load_scale,generated,truth_candidate,in_candidate_set,decision_state
T,G001,H50,A,0,G001,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1.10023508105931,1.01093262485991,1.1999994404762,0,1,1,MULTIPLE_AMBIGUOUS
T,G001,H50,A,0,G001,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",3,5.71793399870073,1.01078448744817,1.1999994404762,0,0,1,MULTIPLE_AMBIGUOUS
T,G001,H50,A,0,G001,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",2,5.64716588782518,1.01110083202613,1.1999994404762,0,0,1,MULTIPLE_AMBIGUOUS
T,G001,H50,A,0,G001,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1.26010596030783,1.00143976634516,1.1999994404762,0,1,1,MULTIPLE_AMBIGUOUS
T,G001,H50,A,0,G001,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",3,5.76896100687997,1.00134568799735,1.1999994404762,0,0,1,MULTIPLE_AMBIGUOUS
T,G001,H50,A,0,G001,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",2,5.63220170492217,1.00165811119168,1.1999994404762,0,0,1,MULTIPLE_AMBIGUOUS
T,G001,H50,A,0,G001,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1.13339311007104,0.984554960228538,1.1999994404762,0,1,1,MULTIPLE_AMBIGUOUS
T,G001,H50,A,0,G001,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",3,5.87727557141755,0.984612710387491,1.1999994404762,0,0,1,MULTIPLE_AMBIGUOUS
T,G001,H50,A,0,G001,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",2,5.80323188376001,0.98447318875455,1.1999994404762,0,0,1,MULTIPLE_AMBIGUOUS
T,G002,H50,A,0,G002,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",3,6.03662672968389,0.989089754540312,1.1999994404762,0,0,1,MULTIPLE_AMBIGUOUS
T,G002,H50,A,0,G002,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",1,0.8336120098949,0.988543258287376,0.85314916695206,0,1,1,MULTIPLE_AMBIGUOUS
T,G002,H50,A,0,G002,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",2,3.80370011557696,0.988737874575458,1.07311721515782,0,0,1,MULTIPLE_AMBIGUOUS
T,G002,H50,A,0,G002,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",3,5.912656970792,1.00195517050244,1.1999994404762,0,0,1,MULTIPLE_AMBIGUOUS
T,G002,H50,A,0,G002,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",1,0.959182170318943,1.00194564956697,1.05751726502627,0,1,1,MULTIPLE_AMBIGUOUS
