scenario,parameter_seed,noise_seed,truth_id,B_state,C_state,C_reason,B_correct_unique,C_correct_unique,B_false_unique,C_false_unique,correct_unique_lost,B_candidate_set,C_candidate_set,B_set_size,C_set_size,B_truth_distance,C_truth_distance,C_competitor,C_competitor_distance,C_margin,C_fit_statistic,C_fit_threshold,C_search_truncated,C_truth_generated,C_truth_pruned,C_truth_covered
G001,105100001,205100001,G001,UNIQUE_CONFIDENT,UNIQUE_CONFIDENT,single_candidate_with_margin,1,1,0,0,0,G001,G001,1,1,1.09081557432454,1.09081557432454,MIRROR_M3,5.76086464330529,4.67004906898075,1.16442488228656,1.31440311952039,0,0,0,1
G001,105100002,205100002,G001,UNIQUE_CONFIDENT,UNIQUE_CONFIDENT,single_candidate_with_margin,1,1,0,0,0,G001,G001,1,1,1.30996952602393,1.30996952602393,MIRROR_M3,5.86346019794171,4.55349067191778,1.21302586025823,1.31440311952039,0,0,0,1
G001,105100003,205100003,G001,UNIQUE_CONFIDENT,UNIQUE_CONFIDENT,single_candidate_with_margin,1,1,0,0,0,G001,G001,1,1,1.13255195903767,1.13255195903767,MIRROR_M3,6.02019985193761,4.88764789289995,1.17980091654412,1.31440311952039,0,0,0,1
G001,105100004,205100004,G001,UNIQUE_CONFIDENT,UNIQUE_CONFIDENT,single_candidate_with_margin,1,1,0,0,0,G001,G001,1,1,1.20812788526723,1.20812788526723,MIRROR_M3,5.88192801189947,4.67380012663224,1.22488232219293,1.31440311952039,0,0,0,1
G001,105100005,205100005,G001,UNIQUE_CONFIDENT,UNIQUE_CONFIDENT,single_candidate_with_margin,1,1,0,0,0,G001,G001,1,1,1.33290039600183,1.33290039600183,G003,6.03423816818486,4.70133777218303,1.22297060464678,1.31440311952039,0,0,0,1
G001,105100006,205100006,G001,UNIQUE_CONFIDENT,UNIQUE_CONFIDENT,single_candidate_with_margin,1,1,0,0,0,G001,G001,1,1,1.16241350523995,1.16241350523995,G003,5.79821368127541,4.63580017603546,1.05523095218786,1.31440311952039,0,0,0,1
G001,105100007,205100007,G001,UNIQUE_CONFIDENT,UNIQUE_CONFIDENT,single_candidate_with_margin,1,1,0,0,0,G001,G001,1,1,1.30072248261667,1.30072248261667,MIRROR_M3,5.82132720798391,4.52060472536723,1.20733220242993,1.31440311952039,0,0,0,1
G001,105100008,205100008,G001,UNIQUE_CONFIDENT,UNIQUE_CONFIDENT,single_candidate_with_margin,1,1,0,0,0,G001,G001,1,1,1.16493751611751,1.16493751611751,MIRROR_M3,5.91011173529536,4.74517421917785,1.19383548909297,1.31440311952039,0,0,0,1
G001,105100009,205100009,G001,UNIQUE_CONFIDENT,UNIQUE_CONFIDENT,single_candidate_with_margin,1,1,0,0,0,G001,G001,1,1,1.16814804141644,1.16814804141644,MIRROR_M3,5.87186891821562,4.70372087679918,1.08307712580679,1.31440311952039,0,0,0,1
G001,105100010,205100010,G001,UNIQUE_CONFIDENT,UNIQUE_CONFIDENT,single_candidate_with_margin,1,1,0,0,0,G001,G001,1,1,1.06724938979866,1.06724938979866,MIRROR_M3,5.7735235320956,4.70627414229694,1.23634782552137,1.31440311952039,0,0,0,1
