split,scheme,flow,budget,n,correct_unique_k,false_unique_k,rejected_k,ambiguous_k,low_confidence_k,truth_generated_k,truth_not_generated_k,truth_pruned_k,truth_active_k,truth_in_set_k,nonempty_set_k,truncated_k,mean_set_size,mean_scored_candidates,mean_optimizer_evaluations,mean_wall_clock_s,correct_unique_low,correct_unique_high,false_unique_low,false_unique_high
T_inlib,H50,B,0,60,41,0,1,0,18,0,0,0,60,60,60,0,1,3,119.783333333333,0.0359701166666667,0.557662329738233,0.786941324476335,0,0.0601718521420896
T_old_out,H50,B,0,40,0,5,30,0,5,0,40,0,0,0,40,0,1,3,112.875,0.0335949,0,0.0876216011972863,0.0545950025094541,0.261121198388511
T_reachable,H50,B,0,20,0,0,20,0,0,0,20,0,0,0,20,0,1,3,133.3,0.0393231,0,0.161125158052819,0,0.161125158052819
T_grammar_out,H50,B,0,20,0,0,20,0,0,0,0,0,0,0,20,0,1,3,131.1,0.0387528,0,0.161125158052819,0,0.161125158052819
T_domain,H50,B,0,20,0,0,20,0,0,0,0,0,20,20,20,0,1,3,216,0.06201895,0,0.161125158052819,0,0.161125158052819
T_inlib,H50,C,3,60,0,0,1,0,59,0,0,0,60,60,60,60,1,3,119.783333333333,0.0354095,0,0.0601718521420896,0,0.0601718521420896
T_old_out,H50,C,3,40,0,0,30,0,10,0,40,0,0,0,40,40,1,3,112.875,0.0333807,0,0.0876216011972863,0,0.0876216011972863
T_reachable,H50,C,3,20,0,0,20,0,0,0,20,0,0,0,20,20,1,3,133.3,0.03905745,0,0.161125158052819,0,0.161125158052819
T_grammar_out,H50,C,3,20,0,0,20,0,0,0,0,0,0,0,20,20,1,3,131.1,0.0385736,0,0.161125158052819,0,0.161125158052819
T_domain,H50,C,3,20,0,0,20,0,0,0,0,0,20,20,20,20,1,3,216,0.06133,0,0.161125158052819,0,0.161125158052819
T_inlib,Zin50,B,0,60,57,0,3,0,0,0,0,0,60,60,60,0,1,3,139.85,0.0412848833333333,0.862994835236515,0.982850497835604,0,0.0601718521420896
T_old_out,Zin50,B,0,40,0,0,40,0,0,0,40,0,0,0,40,0,1,3,152.3,0.045400575,0,0.0876216011972863,0,0.0876216011972863
T_reachable,Zin50,B,0,20,0,0,20,0,0,0,20,0,0,0,20,0,1,3,161.85,0.04793645,0,0.161125158052819,0,0.161125158052819
T_grammar_out,Zin50,B,0,20,0,0,20,0,0,0,0,0,0,0,20,0,1,3,144.1,0.0425652,0,0.161125158052819,0,0.161125158052819
T_domain,Zin50,B,0,20,0,0,20,0,0,0,0,0,20,20,20,0,1,3,163.3,0.04839105,0,0.161125158052819,0,0.161125158052819
T_inlib,Zin50,C,3,60,0,0,3,0,57,0,0,0,60,60,60,60,1,3,139.85,0.0408418166666667,0,0.0601718521420896,0,0.0601718521420896
T_old_out,Zin50,C,3,40,0,0,40,0,0,0,40,0,0,0,40,40,1,3,152.3,0.044740175,0,0.0876216011972863,0,0.0876216011972863
T_reachable,Zin50,C,3,20,0,0,20,0,0,0,20,0,0,0,20,20,1,3,161.85,0.04781255,0,0.161125158052819,0,0.161125158052819
T_grammar_out,Zin50,C,3,20,0,0,20,0,0,0,0,0,0,0,20,20,1,3,144.1,0.0423259,0,0.161125158052819,0,0.161125158052819
T_domain,Zin50,C,3,20,0,0,20,0,0,0,0,0,20,20,20,20,1,3,163.3,0.04796275,0,0.161125158052819,0,0.161125158052819
T_inlib,H50_Zin50,B,0,60,55,0,5,0,0,0,0,0,60,60,60,0,1,3,139.816666666667,0.04177925,0.819310579816656,0.963879543398269,0,0.0601718521420896
T_old_out,H50_Zin50,B,0,40,0,0,40,0,0,0,40,0,0,0,40,0,1,3,152.35,0.045444825,0,0.0876216011972863,0,0.0876216011972863
T_reachable,H50_Zin50,B,0,20,0,0,20,0,0,0,20,0,0,0,20,0,1,3,161.95,0.0475614,0,0.161125158052819,0,0.161125158052819
T_grammar_out,H50_Zin50,B,0,20,0,0,20,0,0,0,0,0,0,0,20,0,1,3,144.3,0.04287475,0,0.161125158052819,0,0.161125158052819
T_domain,H50_Zin50,B,0,20,0,0,20,0,0,0,0,0,20,20,20,0,1,3,163.9,0.04913785,0,0.161125158052819,0,0.161125158052819
T_inlib,H50_Zin50,C,3,60,0,0,5,0,55,0,0,0,60,60,60,60,1,3,139.816666666667,0.04138915,0,0.0601718521420896,0,0.0601718521420896
T_old_out,H50_Zin50,C,3,40,0,0,40,0,0,0,40,0,0,0,40,40,1,3,152.35,0.045032025,0,0.0876216011972863,0,0.0876216011972863
T_reachable,H50_Zin50,C,3,20,0,0,20,0,0,0,20,0,0,0,20,20,1,3,161.95,0.04760595,0,0.161125158052819,0,0.161125158052819
T_grammar_out,H50_Zin50,C,3,20,0,0,20,0,0,0,0,0,0,0,20,20,1,3,144.3,0.0424776,0,0.161125158052819,0,0.161125158052819
T_domain,H50_Zin50,C,3,20,0,0,20,0,0,0,0,0,20,20,20,20,1,3,163.9,0.04878105,0,0.161125158052819,0,0.161125158052819
