sample_id,split,scheme,flow,budget,truth_id,candidate_id,signature,rank,distance,fit_main_scale,fit_load_scale,generated,truth_candidate,in_candidate_set
T_inlib_G001_001,T_inlib,H50,B,0,G001,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1.06604730400494,1.01999447654713,1.1999994404762,0,1,1
T_inlib_G001_001,T_inlib,H50,B,0,G001,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",3,6.11171853314967,1.02044493122389,1.1999994404762,0,0,0
T_inlib_G001_001,T_inlib,H50,B,0,G001,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",2,5.94795133367101,1.02011291675465,1.1999994404762,0,0,0
T_inlib_G001_001,T_inlib,H50,C,5,G001,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1.06604730400494,1.01999447654713,1.1999994404762,0,1,1
T_inlib_G001_001,T_inlib,H50,C,5,G001,MIRROR_M3,"M=20,20,20,20,|T=0,0,0,0,|B=3,15,1,50;",2,5.947951333671,1.02011291675465,1.1999994404762,1,0,0
T_inlib_G001_001,T_inlib,H50,C,5,G001,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",4,6.11171853314967,1.02044493122389,1.1999994404762,0,0,0
T_inlib_G001_001,T_inlib,H50,C,5,G001,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",3,5.94795133367101,1.02011291675465,1.1999994404762,0,0,0
T_inlib_G001_001,T_inlib,H50,C,5,G001,ADD_M1_M3,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;3,15,1,50;",5,8.42869067624066,1.02047190047273,1.1999994404762,1,0,0
T_inlib_G001_002,T_inlib,H50,B,0,G001,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1.02684977944494,1.00829285828727,1.1999994404762,0,1,1
T_inlib_G001_002,T_inlib,H50,B,0,G001,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",3,6.27891928655759,1.00836853770751,1.1999994404762,0,0,0
T_inlib_G001_002,T_inlib,H50,B,0,G001,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",2,6.09483716285741,1.00827805370506,1.1999994404762,0,0,0
T_inlib_G001_002,T_inlib,H50,C,5,G001,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1.02684977944494,1.00829285828727,1.1999994404762,0,1,1
T_inlib_G001_002,T_inlib,H50,C,5,G001,MIRROR_M3,"M=20,20,20,20,|T=0,0,0,0,|B=3,15,1,50;",2,6.09483716285741,1.00827805370506,1.1999994404762,1,0,0
T_inlib_G001_002,T_inlib,H50,C,5,G001,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",4,6.27891928655759,1.00836853770751,1.1999994404762,0,0,0
T_inlib_G001_002,T_inlib,H50,C,5,G001,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",3,6.09483716285741,1.00827805370506,1.1999994404762,0,0,0
T_inlib_G001_002,T_inlib,H50,C,5,G001,ADD_M1_M3,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;3,15,1,50;",5,8.61445415112232,1.00860493340564,1.1999994404762,1,0,0
T_inlib_G001_003,T_inlib,H50,B,0,G001,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1.25380603659024,1.01910943505812,1.1999994404762,0,1,1
T_inlib_G001_003,T_inlib,H50,B,0,G001,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",3,5.81334611809102,1.01947394717098,1.1999994404762,0,0,0
T_inlib_G001_003,T_inlib,H50,B,0,G001,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",2,5.80003589016753,1.01932273267849,1.1999994404762,0,0,0
T_inlib_G001_003,T_inlib,H50,C,5,G001,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1.25380603659024,1.01910943505812,1.1999994404762,0,1,1
T_inlib_G001_003,T_inlib,H50,C,5,G001,MIRROR_M3,"M=20,20,20,20,|T=0,0,0,0,|B=3,15,1,50;",2,5.80003589016753,1.01932273267849,1.1999994404762,1,0,0
T_inlib_G001_003,T_inlib,H50,C,5,G001,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",4,5.81334611809102,1.01947394717098,1.1999994404762,0,0,0
T_inlib_G001_003,T_inlib,H50,C,5,G001,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",3,5.80003589016753,1.01932273267849,1.1999994404762,0,0,0
T_inlib_G001_003,T_inlib,H50,C,5,G001,ADD_M1_M3,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;3,15,1,50;",5,8.23416949772784,1.01967275112186,1.1999994404762,1,0,0
T_inlib_G001_004,T_inlib,H50,B,0,G001,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1.06192674926587,1.00052760590602,1.1999994404762,0,1,1
T_inlib_G001_004,T_inlib,H50,B,0,G001,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",3,6.23810098433934,1.00073800166638,1.1999994404762,0,0,0
T_inlib_G001_004,T_inlib,H50,B,0,G001,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",2,6.04065362350332,1.00033807986769,1.1999994404762,0,0,0
T_inlib_G001_004,T_inlib,H50,C,5,G001,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1.06192674926587,1.00052760590602,1.1999994404762,0,1,1
T_inlib_G001_004,T_inlib,H50,C,5,G001,MIRROR_M3,"M=20,20,20,20,|T=0,0,0,0,|B=3,15,1,50;",2,6.04065362350332,1.00033807986769,1.1999994404762,1,0,0
T_inlib_G001_004,T_inlib,H50,C,5,G001,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",4,6.23810098433934,1.00073800166638,1.1999994404762,0,0,0
T_inlib_G001_004,T_inlib,H50,C,5,G001,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",3,6.04065362350332,1.00033807986769,1.1999994404762,0,0,0
T_inlib_G001_004,T_inlib,H50,C,5,G001,ADD_M1_M3,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;3,15,1,50;",5,8.54324713707815,1.00065576130218,1.1999994404762,1,0,0
T_inlib_G001_005,T_inlib,H50,B,0,G001,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1.13617113784124,0.987100106095216,1.1999994404762,0,1,1
T_inlib_G001_005,T_inlib,H50,B,0,G001,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",3,6.24250304430842,0.987686495549367,1.1999994404762,0,0,0
T_inlib_G001_005,T_inlib,H50,B,0,G001,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",2,6.05996286559153,0.987055179314833,1.1999994404762,0,0,0
T_inlib_G001_005,T_inlib,H50,C,5,G001,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1.13617113784124,0.987100106095216,1.1999994404762,0,1,1
T_inlib_G001_005,T_inlib,H50,C,5,G001,MIRROR_M3,"M=20,20,20,20,|T=0,0,0,0,|B=3,15,1,50;",3,6.05996286559153,0.987055179314832,1.1999994404762,1,0,0
T_inlib_G001_005,T_inlib,H50,C,5,G001,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",4,6.24250304430842,0.987686495549367,1.1999994404762,0,0,0
T_inlib_G001_005,T_inlib,H50,C,5,G001,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",2,6.05996286559153,0.987055179314833,1.1999994404762,0,0,0
T_inlib_G001_005,T_inlib,H50,C,5,G001,ADD_M1_M3,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;3,15,1,50;",5,8.66034629546952,0.987943010054767,1.1999994404762,1,0,0
T_inlib_G001_006,T_inlib,H50,B,0,G001,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1.38661268045115,1.01091861141597,1.1999994404762,0,1,1
T_inlib_G001_006,T_inlib,H50,B,0,G001,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",3,6.10943940815257,1.01138731378084,1.1999994404762,0,0,0
T_inlib_G001_006,T_inlib,H50,B,0,G001,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",2,5.79827554304731,1.01121635123207,1.1999994404762,0,0,0
T_inlib_G001_006,T_inlib,H50,C,5,G001,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1.38661268045115,1.01091861141597,1.1999994404762,0,1,1
T_inlib_G001_006,T_inlib,H50,C,5,G001,MIRROR_M3,"M=20,20,20,20,|T=0,0,0,0,|B=3,15,1,50;",3,5.79827554304731,1.01121635123207,1.1999994404762,1,0,0
T_inlib_G001_006,T_inlib,H50,C,5,G001,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",4,6.10943940815257,1.01138731378084,1.1999994404762,0,0,0
T_inlib_G001_006,T_inlib,H50,C,5,G001,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",2,5.79827554304731,1.01121635123207,1.1999994404762,0,0,0
T_inlib_G001_006,T_inlib,H50,C,5,G001,ADD_M1_M3,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;3,15,1,50;",5,8.31526159494221,1.01161151065834,1.1999994404762,1,0,0
T_inlib_G001_007,T_inlib,H50,B,0,G001,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1.24041272897787,1.00929603103013,1.1999994404762,0,1,1
T_inlib_G001_007,T_inlib,H50,B,0,G001,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",3,6.22163076431467,1.00917131317488,1.1999994404762,0,0,0
T_inlib_G001_007,T_inlib,H50,B,0,G001,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",2,6.01225794592421,1.00943546972472,1.1999994404762,0,0,0
T_inlib_G001_007,T_inlib,H50,C,5,G001,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1.24041272897787,1.00929603103013,1.1999994404762,0,1,1
T_inlib_G001_007,T_inlib,H50,C,5,G001,MIRROR_M3,"M=20,20,20,20,|T=0,0,0,0,|B=3,15,1,50;",3,6.01225794592421,1.00943546972473,1.1999994404762,1,0,0
T_inlib_G001_007,T_inlib,H50,C,5,G001,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",4,6.22163076431467,1.00917131317488,1.1999994404762,0,0,0
T_inlib_G001_007,T_inlib,H50,C,5,G001,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",2,6.01225794592421,1.00943546972472,1.1999994404762,0,0,0
T_inlib_G001_007,T_inlib,H50,C,5,G001,ADD_M1_M3,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;3,15,1,50;",5,8.59512857130759,1.00957049087815,1.1999994404762,1,0,0
T_inlib_G001_008,T_inlib,H50,B,0,G001,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1.09822438522686,1.01150023394698,1.1999994404762,0,1,1
T_inlib_G001_008,T_inlib,H50,B,0,G001,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",3,5.80603845680244,1.01163699614509,1.1999994404762,0,0,0
T_inlib_G001_008,T_inlib,H50,B,0,G001,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",2,5.65412818858565,1.01120686329256,1.1999994404762,0,0,0
T_inlib_G001_008,T_inlib,H50,C,5,G001,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1.09822438522686,1.01150023394698,1.1999994404762,0,1,1
T_inlib_G001_008,T_inlib,H50,C,5,G001,MIRROR_M3,"M=20,20,20,20,|T=0,0,0,0,|B=3,15,1,50;",3,5.65412818858565,1.01120686329256,1.1999994404762,1,0,0
T_inlib_G001_008,T_inlib,H50,C,5,G001,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",4,5.80603845680244,1.01163699614509,1.1999994404762,0,0,0
T_inlib_G001_008,T_inlib,H50,C,5,G001,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",2,5.65412818858565,1.01120686329256,1.1999994404762,0,0,0
T_inlib_G001_008,T_inlib,H50,C,5,G001,ADD_M1_M3,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;3,15,1,50;",5,8.16869845689099,1.01149536198533,1.1999994404762,1,0,0
T_inlib_G001_009,T_inlib,H50,B,0,G001,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1.04717779544829,0.99886636052915,1.1999994404762,0,1,1
T_inlib_G001_009,T_inlib,H50,B,0,G001,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",3,5.95264045351107,0.999094757859078,1.1999994404762,0,0,0
T_inlib_G001_009,T_inlib,H50,B,0,G001,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",2,5.72742047292067,0.999096241156662,1.1999994404762,0,0,0
T_inlib_G001_009,T_inlib,H50,C,5,G001,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1.04717779544829,0.99886636052915,1.1999994404762,0,1,1
T_inlib_G001_009,T_inlib,H50,C,5,G001,MIRROR_M3,"M=20,20,20,20,|T=0,0,0,0,|B=3,15,1,50;",2,5.72742047292067,0.999096241156662,1.1999994404762,1,0,0
T_inlib_G001_009,T_inlib,H50,C,5,G001,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",4,5.95264045351107,0.999094757859078,1.1999994404762,0,0,0
T_inlib_G001_009,T_inlib,H50,C,5,G001,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",3,5.72742047292067,0.999096241156662,1.1999994404762,0,0,0
T_inlib_G001_009,T_inlib,H50,C,5,G001,ADD_M1_M3,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;3,15,1,50;",5,8.26147410198975,0.999659757705204,1.1999994404762,1,0,0
T_inlib_G001_010,T_inlib,H50,B,0,G001,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1.19665786613394,0.994215995113727,1.1999994404762,0,1,1
T_inlib_G001_010,T_inlib,H50,B,0,G001,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",3,6.00606167872268,0.994602272277881,1.1999994404762,0,0,0
T_inlib_G001_010,T_inlib,H50,B,0,G001,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",2,5.89821477069261,0.994723192861803,1.1999994404762,0,0,0
T_inlib_G001_010,T_inlib,H50,C,5,G001,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1.19665786613394,0.994215995113727,1.1999994404762,0,1,1
T_inlib_G001_010,T_inlib,H50,C,5,G001,MIRROR_M3,"M=20,20,20,20,|T=0,0,0,0,|B=3,15,1,50;",3,5.89821477069261,0.994723192861803,1.1999994404762,1,0,0
