sample_id,split,scenario,scheme,flow,budget,truth_id,truth_signature,truth_in_initial,truth_in_search_pool,theoretically_reachable,min_edit_steps,domain_out,parameter_seed,noise_seed,true_main_scale,true_load_scale,generated,active,not_generated,pruned,truth_in_set,candidate_count,profile_evaluations,optimizer_evaluations,forward_calls,wall_clock_s,best_candidate,second_candidate,truth_rank,truth_distance,closest_competitor,competitor_distance,distance_1,distance_2,margin,candidate_set,set_size,fit_statistic,fit_threshold,fit_pass,search_truncated,state,reason,correct_unique,false_unique
T_inlib_G001_001,T_inlib,G001,H50,B,0,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1,1,0,0,211100001,311100001,1.01963586068804,1.06123958804439,0,1,0,0,1,3,3,132,133,0.043363,G001,G003,1,1.06604730400494,G003,5.94795133367101,1.06604730400494,5.94795133367101,4.88190402966606,G001,1,1.00393747380672,1.31144114284432,1,0,UNIQUE_CONFIDENT,single_candidate_with_margin,1,0
T_inlib_G001_001,T_inlib,G001,H50,C,5,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1,1,0,0,211100001,311100001,1.01963586068804,1.06123958804439,0,1,0,0,1,5,8,352,353,0.104642,G001,MIRROR_M3,1,1.06604730400494,MIRROR_M3,5.947951333671,1.06604730400494,5.947951333671,4.88190402966606,G001,1,1.00393747380672,1.31144114284432,1,1,LOW_CONFIDENCE,search_budget_truncated,0,0
T_inlib_G001_002,T_inlib,G001,H50,B,0,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1,1,0,0,211100002,311100002,1.00847276378123,0.918128102411007,0,1,0,0,1,3,3,132,133,0.038523,G001,G003,1,1.02684977944494,G003,6.09483716285741,1.02684977944494,6.09483716285741,5.06798738341247,G001,1,1.22516358691557,1.31144114284432,1,0,UNIQUE_CONFIDENT,single_candidate_with_margin,1,0
T_inlib_G001_002,T_inlib,G001,H50,C,5,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1,1,0,0,211100002,311100002,1.00847276378123,0.918128102411007,0,1,0,0,1,5,8,352,353,0.104241,G001,MIRROR_M3,1,1.02684977944494,MIRROR_M3,6.09483716285741,1.02684977944494,6.09483716285741,5.06798738341247,G001,1,1.22516358691557,1.31144114284432,1,1,LOW_CONFIDENCE,search_budget_truncated,0,0
T_inlib_G001_003,T_inlib,G001,H50,B,0,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1,1,0,0,211100003,311100003,1.0194099508561,1.14100091425716,0,1,0,0,1,3,3,130,131,0.039883,G001,G003,1,1.25380603659024,G003,5.80003589016753,1.25380603659024,5.80003589016753,4.5462298535773,G001,1,1.04803515986536,1.31144114284432,1,0,UNIQUE_CONFIDENT,single_candidate_with_margin,1,0
T_inlib_G001_003,T_inlib,G001,H50,C,5,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1,1,0,0,211100003,311100003,1.0194099508561,1.14100091425716,0,1,0,0,1,5,8,348,349,0.103884,G001,MIRROR_M3,1,1.25380603659024,MIRROR_M3,5.80003589016753,1.25380603659024,5.80003589016753,4.5462298535773,G001,1,1.04803515986536,1.31144114284432,1,1,LOW_CONFIDENCE,search_budget_truncated,0,0
T_inlib_G001_004,T_inlib,G001,H50,B,0,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1,1,0,0,211100004,311100004,1.00035273128711,1.16233951895729,0,1,0,0,1,3,3,132,133,0.03854,G001,G003,1,1.06192674926587,G003,6.04065362350332,1.06192674926587,6.04065362350332,4.97872687423745,G001,1,1.13110262972309,1.31144114284432,1,0,UNIQUE_CONFIDENT,single_candidate_with_margin,1,0
T_inlib_G001_004,T_inlib,G001,H50,C,5,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1,1,0,0,211100004,311100004,1.00035273128711,1.16233951895729,0,1,0,0,1,5,8,352,353,0.104837,G001,MIRROR_M3,1,1.06192674926587,MIRROR_M3,6.04065362350332,1.06192674926587,6.04065362350332,4.97872687423745,G001,1,1.13110262972309,1.31144114284432,1,1,LOW_CONFIDENCE,search_budget_truncated,0,0
T_inlib_G001_005,T_inlib,G001,H50,B,0,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1,1,0,0,211100005,311100005,0.987619997429068,1.05404849361647,0,1,0,0,1,3,3,132,133,0.039094,G001,G003,1,1.13617113784124,G003,6.05996286559153,1.13617113784124,6.05996286559153,4.92379172775028,G001,1,1.08747826687442,1.31144114284432,1,0,UNIQUE_CONFIDENT,single_candidate_with_margin,1,0
T_inlib_G001_005,T_inlib,G001,H50,C,5,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1,1,0,0,211100005,311100005,0.987619997429068,1.05404849361647,0,1,0,0,1,5,8,352,353,0.104105,G001,G003,1,1.13617113784124,G003,6.05996286559153,1.13617113784124,6.05996286559153,4.92379172775028,G001,1,1.08747826687442,1.31144114284432,1,1,LOW_CONFIDENCE,search_budget_truncated,0,0
T_inlib_G001_006,T_inlib,G001,H50,B,0,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1,1,0,0,211100006,311100006,1.01111381015056,0.877460815019134,0,1,0,0,1,3,3,132,133,0.038133,G001,G003,1,1.38661268045115,G003,5.79827554304731,1.38661268045115,5.79827554304731,4.41166286259617,G001,1,1.13100626828464,1.31144114284432,1,0,UNIQUE_CONFIDENT,single_candidate_with_margin,1,0
T_inlib_G001_006,T_inlib,G001,H50,C,5,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1,1,0,0,211100006,311100006,1.01111381015056,0.877460815019134,0,1,0,0,1,5,8,352,353,0.102714,G001,G003,1,1.38661268045115,G003,5.79827554304731,1.38661268045115,5.79827554304731,4.41166286259617,G001,1,1.13100626828464,1.31144114284432,1,1,LOW_CONFIDENCE,search_budget_truncated,0,0
T_inlib_G001_007,T_inlib,G001,H50,B,0,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1,1,0,0,211100007,311100007,1.00938518506595,1.09008223757048,0,1,0,0,1,3,3,132,133,0.037549,G001,G003,1,1.24041272897787,G003,6.01225794592421,1.24041272897787,6.01225794592421,4.77184521694634,G001,1,1.18453206444166,1.31144114284432,1,0,UNIQUE_CONFIDENT,single_candidate_with_margin,1,0
T_inlib_G001_007,T_inlib,G001,H50,C,5,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1,1,0,0,211100007,311100007,1.00938518506595,1.09008223757048,0,1,0,0,1,5,8,352,353,0.102675,G001,G003,1,1.24041272897787,G003,6.01225794592421,1.24041272897787,6.01225794592421,4.77184521694634,G001,1,1.18453206444166,1.31144114284432,1,1,LOW_CONFIDENCE,search_budget_truncated,0,0
T_inlib_G001_008,T_inlib,G001,H50,B,0,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1,1,0,0,211100008,311100008,1.01151445398556,1.01574116969389,0,1,0,0,1,3,3,132,133,0.037432,G001,G003,1,1.09822438522686,G003,5.65412818858565,1.09822438522686,5.65412818858565,4.55590380335879,G001,1,1.2022781096066,1.31144114284432,1,0,UNIQUE_CONFIDENT,single_candidate_with_margin,1,0
T_inlib_G001_008,T_inlib,G001,H50,C,5,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1,1,0,0,211100008,311100008,1.01151445398556,1.01574116969389,0,1,0,0,1,5,8,352,353,0.102927,G001,G003,1,1.09822438522686,G003,5.65412818858565,1.09822438522686,5.65412818858565,4.55590380335879,G001,1,1.2022781096066,1.31144114284432,1,1,LOW_CONFIDENCE,search_budget_truncated,0,0
T_inlib_G001_009,T_inlib,G001,H50,B,0,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1,1,0,0,211100009,311100009,0.998768836482004,0.848139127578722,0,1,0,0,1,3,3,132,133,0.03817,G001,G003,1,1.04717779544829,G003,5.72742047292067,1.04717779544829,5.72742047292067,4.68024267747239,G001,1,1.16210583612197,1.31144114284432,1,0,UNIQUE_CONFIDENT,single_candidate_with_margin,1,0
T_inlib_G001_009,T_inlib,G001,H50,C,5,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1,1,0,0,211100009,311100009,0.998768836482004,0.848139127578722,0,1,0,0,1,5,8,352,353,0.103972,G001,MIRROR_M3,1,1.04717779544829,MIRROR_M3,5.72742047292067,1.04717779544829,5.72742047292067,4.68024267747239,G001,1,1.16210583612197,1.31144114284432,1,1,LOW_CONFIDENCE,search_budget_truncated,0,0
