sample_id,split,scenario,scheme,flow,budget,truth_id,truth_signature,truth_in_initial,truth_in_search_pool,theoretically_reachable,min_edit_steps,domain_out,parameter_seed,noise_seed,true_main_scale,true_load_scale,generated,active,not_generated,pruned,truth_in_set,candidate_count,profile_evaluations,optimizer_evaluations,forward_calls,wall_clock_s,best_candidate,second_candidate,truth_rank,truth_distance,closest_competitor,competitor_distance,distance_1,distance_2,margin,candidate_set,set_size,fit_statistic,fit_threshold,fit_pass,search_truncated,state,reason,correct_unique,false_unique
T_inlib_G001_001,T_inlib,G001,H50,B,0,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1,1,0,0,711100001,811100001,1.00287307777641,1.18917947277336,0,1,0,0,1,3,3,132,133,0.045021,G001,G003,1,0.9900341372668,G003,5.96627429583641,0.9900341372668,5.96627429583641,4.97624015856961,G001;G002;G003,3,1.25739556626268,Inf,1,0,MULTIPLE_AMBIGUOUS,multiple_candidates,0,0
T_inlib_G001_001,T_inlib,G001,H50,C,17,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1,1,0,0,711100001,811100001,1.00287307777641,1.18917947277336,0,1,0,0,1,10,20,886,887,0.308233,G001,MIRROR_M3,1,0.9900341372668,MIRROR_M3,5.96627429583641,0.9900341372668,5.96627429583641,4.97624015856961,G001;MIRROR_M3;DOUBLE_M3;G002;ADD_M2_M3;DOUBLE_M2;G003;ADD_M1_M3;ADD_M1_M2;DOUBLE_M1,10,1.25739556626268,Inf,1,0,MULTIPLE_AMBIGUOUS,multiple_candidates,0,0
T_inlib_G001_002,T_inlib,G001,H50,B,0,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1,1,0,0,711100002,811100002,0.988855578512972,0.865447979550995,0,1,0,0,1,3,3,132,133,0.039256,G001,G003,1,1.29054085781214,G003,6.12352568691526,1.29054085781214,6.12352568691526,4.83298482910312,G001;G002;G003,3,1.31773744979627,Inf,1,0,MULTIPLE_AMBIGUOUS,multiple_candidates,0,0
T_inlib_G001_002,T_inlib,G001,H50,C,17,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",1,1,1,0,0,711100002,811100002,0.988855578512972,0.865447979550995,0,1,0,0,1,10,20,890,891,0.297714,G001,G003,1,1.29054085781214,G003,6.12352568691526,1.29054085781214,6.12352568691526,4.83298482910312,G001;MIRROR_M3;DOUBLE_M3;G002;ADD_M2_M3;DOUBLE_M2;G003;ADD_M1_M3;ADD_M1_M2;DOUBLE_M1,10,1.31773744979627,Inf,1,0,MULTIPLE_AMBIGUOUS,multiple_candidates,0,0
T_inlib_G002_001,T_inlib,G002,H50,B,0,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",1,1,1,0,0,711400001,811400001,0.997633291869955,0.822828763740553,0,1,0,0,1,3,3,96,97,0.031994,G002,G003,1,0.831979081634888,G003,3.9302356042344,0.831979081634888,3.9302356042344,3.09825652259952,G001;G002;G003,3,1.01805498190897,Inf,1,0,MULTIPLE_AMBIGUOUS,multiple_candidates,0,0
T_inlib_G002_001,T_inlib,G002,H50,C,17,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",1,1,1,0,0,711400001,811400001,0.997633291869955,0.822828763740553,0,1,0,0,1,12,24,855,856,0.315047,G002,DOUBLE_M2,1,0.831979081634888,DOUBLE_M2,2.89308845344066,0.831979081634888,2.89308845344066,2.06110937180577,G001;MIRROR_M3;DOUBLE_M3;G002;ADD_M2_M3;DOUBLE_M2;EXT_021;G003;ADD_M1_M3;ADD_M1_M2;EXT_120;DOUBLE_M1,12,1.01805498190897,Inf,1,0,MULTIPLE_AMBIGUOUS,multiple_candidates,0,0
T_inlib_G002_002,T_inlib,G002,H50,B,0,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",1,1,1,0,0,711400002,811400002,1.01254112406085,0.837967389317681,0,1,0,0,1,3,3,95,96,0.030144,G002,G003,1,0.78866344250516,G003,3.93772188712044,0.78866344250516,3.93772188712044,3.14905844461528,G001;G002;G003,3,0.789001419875,Inf,1,0,MULTIPLE_AMBIGUOUS,multiple_candidates,0,0
T_inlib_G002_002,T_inlib,G002,H50,C,17,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",1,1,1,0,0,711400002,811400002,1.01254112406085,0.837967389317681,0,1,0,0,1,12,24,851,852,0.306715,G002,DOUBLE_M2,1,0.78866344250516,DOUBLE_M2,2.98577323897518,0.78866344250516,2.98577323897518,2.19710979647002,G001;MIRROR_M3;DOUBLE_M3;G002;ADD_M2_M3;DOUBLE_M2;EXT_021;G003;ADD_M1_M3;ADD_M1_M2;EXT_120;DOUBLE_M1,12,0.789001419875,Inf,1,0,MULTIPLE_AMBIGUOUS,multiple_candidates,0,0
T_inlib_G003_001,T_inlib,G003,H50,B,0,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",1,1,1,0,0,711900001,811900001,0.99055708498657,1.17472246032683,0,1,0,0,1,3,3,128,129,0.040396,G003,G002,1,0.920444008905236,G002,3.72469250491625,0.920444008905236,3.72469250491625,2.80424849601101,G001;G002;G003,3,0.704115974729219,Inf,1,0,MULTIPLE_AMBIGUOUS,multiple_candidates,0,0
T_inlib_G003_001,T_inlib,G003,H50,C,17,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",1,1,1,0,0,711900001,811900001,0.99055708498657,1.17472246032683,0,1,0,0,1,12,24,1046,1047,0.372093,MIRROR_M3,G003,2,0.920444008905236,MIRROR_M3,0.920444008905234,0.920444008905234,0.920444008905236,1.99840144432528e-15,G001;MIRROR_M3;DOUBLE_M3;G002;ADD_M2_M3;DOUBLE_M2;G003;ADD_M1_M3;ADD_M1_M2;DOUBLE_M1;EXT_201;EXT_210,12,0.70411597472922,Inf,1,0,MULTIPLE_AMBIGUOUS,multiple_candidates,0,0
