split,scheme,flow,budget,n,correct_unique_k,false_unique_k,rejected_k,ambiguous_k,low_confidence_k,truth_generated_k,truth_not_generated_k,truth_pruned_k,truth_active_k,truth_in_set_k,nonempty_set_k,truncated_k,mean_set_size,mean_scored_candidates,mean_optimizer_evaluations,mean_wall_clock_s,correct_unique_low,correct_unique_high,false_unique_low,false_unique_high
T_inlib,H50,B,0,6,0,0,0,6,0,0,0,0,6,6,6,0,3,3,116.166666666667,0.0370601666666667,0,0.390334287902164,0,0.390334287902164
T_old_out,H50,B,0,4,0,0,0,4,0,0,4,0,0,0,4,0,3,3,108.5,0.032933,0,0.489890836454596,0,0.489890836454596
T_reachable,H50,B,0,2,0,0,0,2,0,0,2,0,0,0,2,0,3,3,133,0.040427,0,0.657619772493346,0,0.657619772493346
T_grammar_out,H50,B,0,2,0,0,0,2,0,0,0,0,0,0,2,0,3,3,131,0.0388535,0,0.657619772493346,0,0.657619772493346
T_domain,H50,B,0,2,0,0,0,2,0,0,0,0,2,2,2,0,3,3,216,0.0625975,0,0.657619772493346,0,0.657619772493346
T_inlib,H50,C,17,6,0,0,0,6,0,0,0,0,6,6,6,0,11.3333333333333,11.3333333333333,906.166666666667,0.322194666666667,0,0.390334287902164,0,0.390334287902164
T_old_out,H50,C,17,4,0,0,0,4,0,4,0,0,4,4,4,0,14,14,887.25,0.32333325,0,0.489890836454596,0,0.489890836454596
T_reachable,H50,C,17,2,0,0,0,2,0,2,0,0,2,2,2,0,15,15,1047,0.3775945,0,0.657619772493346,0,0.657619772493346
T_grammar_out,H50,C,17,2,0,0,0,2,0,0,0,0,0,0,2,0,12,12,1054,0.368477,0,0.657619772493346,0,0.657619772493346
T_domain,H50,C,17,2,0,0,0,2,0,0,0,0,2,2,2,0,14.5,14.5,1908,0.676686,0,0.657619772493346,0,0.657619772493346
T_inlib,Zin50,B,0,6,0,0,0,6,0,0,0,0,6,6,6,0,3,3,139.666666666667,0.0413788333333333,0,0.390334287902164,0,0.390334287902164
T_old_out,Zin50,B,0,4,0,0,0,4,0,0,4,0,0,0,4,0,3,3,152.5,0.046002,0,0.489890836454596,0,0.489890836454596
T_reachable,Zin50,B,0,2,0,0,0,2,0,0,2,0,0,0,2,0,3,3,151,0.0449045,0,0.657619772493346,0,0.657619772493346
T_grammar_out,Zin50,B,0,2,0,0,0,2,0,0,0,0,0,0,2,0,3,3,140,0.0415275,0,0.657619772493346,0,0.657619772493346
T_domain,Zin50,B,0,2,0,0,0,2,0,0,0,0,2,2,2,0,3,3,165,0.048564,0,0.657619772493346,0,0.657619772493346
T_inlib,Zin50,C,17,6,0,0,0,6,0,0,0,0,6,6,6,0,12.6666666666667,12.6666666666667,1023.66666666667,0.357432166666667,0,0.390334287902164,0,0.390334287902164
T_old_out,Zin50,C,17,4,0,0,0,4,0,4,0,0,4,4,4,0,13,13,1112.75,0.390911,0,0.489890836454596,0,0.489890836454596
T_reachable,Zin50,C,17,2,0,0,0,2,0,2,0,0,2,2,2,0,14,14,1190.5,0.4201555,0,0.657619772493346,0,0.657619772493346
T_grammar_out,Zin50,C,17,2,0,0,0,2,0,0,0,0,0,0,2,0,12,12,1138,0.399788,0,0.657619772493346,0,0.657619772493346
T_domain,Zin50,C,17,2,0,0,0,2,0,0,0,0,2,2,2,0,13.5,13.5,1428,0.5045935,0,0.657619772493346,0,0.657619772493346
T_inlib,H50_Zin50,B,0,6,0,0,0,6,0,0,0,0,6,6,6,0,3,3,139.666666666667,0.0419293333333333,0,0.390334287902164,0,0.390334287902164
T_old_out,H50_Zin50,B,0,4,0,0,0,4,0,0,4,0,0,0,4,0,3,3,152.5,0.04570025,0,0.489890836454596,0,0.489890836454596
T_reachable,H50_Zin50,B,0,2,0,0,0,2,0,0,2,0,0,0,2,0,3,3,151,0.0450115,0,0.657619772493346,0,0.657619772493346
T_grammar_out,H50_Zin50,B,0,2,0,0,0,2,0,0,0,0,0,0,2,0,3,3,140,0.041448,0,0.657619772493346,0,0.657619772493346
T_domain,H50_Zin50,B,0,2,0,0,0,2,0,0,0,0,2,2,2,0,3,3,163,0.0484855,0,0.657619772493346,0,0.657619772493346
T_inlib,H50_Zin50,C,17,6,0,0,0,6,0,0,0,0,6,6,6,0,12.6666666666667,12.6666666666667,1031.33333333333,0.364268,0,0.390334287902164,0,0.390334287902164
T_old_out,H50_Zin50,C,17,4,0,0,0,4,0,4,0,0,4,4,4,0,13,13,1113.75,0.40252925,0,0.489890836454596,0,0.489890836454596
T_reachable,H50_Zin50,C,17,2,0,0,0,2,0,2,0,0,2,2,2,0,14,14,1190.5,0.4233335,0,0.657619772493346,0,0.657619772493346
T_grammar_out,H50_Zin50,C,17,2,0,0,0,2,0,0,0,0,0,0,2,0,12,12,1138,0.4014045,0,0.657619772493346,0,0.657619772493346
T_domain,H50_Zin50,C,17,2,0,0,0,2,0,0,0,0,2,2,2,0,13.5,13.5,1422,0.5073195,0,0.657619772493346,0,0.657619772493346
