Equivalence audit: 87 candidates, 3741 unordered pairs.
Equivalence audit progress: 10/87, 0.112 s.
Equivalence audit progress: 20/87, 0.186 s.
Equivalence audit progress: 30/87, 0.244 s.
Equivalence audit progress: 40/87, 0.292 s.
Equivalence audit progress: 50/87, 0.330 s.
Equivalence audit progress: 60/87, 0.359 s.
Equivalence audit progress: 70/87, 0.379 s.
Equivalence audit progress: 80/87, 0.389 s.
Equivalence audit progress: 86/87, 0.391 s.
Equivalence audit completed: 3741 pairs, 62 unique nearest pairs, 0.922 s.
