IN_CI H50 A coverage=87/90[0.9065,0.9886] correct=46/90[0.4095,0.6118]
IN_CI H50 B coverage=90/90[0.9591,1.0000] correct=62/90[0.5872,0.7751]
IN_CI H50 C coverage=89/90[0.9397,0.9980] correct=27/90[0.2151,0.4013]
IN_CI Zin50 A coverage=81/90[0.8208,0.9465] correct=80/90[0.8074,0.9385]
IN_CI Zin50 B coverage=90/90[0.9591,1.0000] correct=87/90[0.9065,0.9886]
IN_CI Zin50 C coverage=90/90[0.9591,1.0000] correct=87/90[0.9065,0.9886]
IN_CI H50_Zin50 A coverage=85/90[0.8765,0.9760] correct=82/90[0.8343,0.9543]
IN_CI H50_Zin50 B coverage=90/90[0.9591,1.0000] correct=85/90[0.8765,0.9760]
IN_CI H50_Zin50 C coverage=90/90[0.9591,1.0000] correct=85/90[0.8765,0.9760]
WILSON 0/120 [0.000000,0.031019]
WILSON 0/90 [0.000000,0.040936]
WILSON 16/120 [0.083766,0.205648]
WILSON 16/90 [0.112497,0.269439]
WILSON 113/120 [0.884474,0.971459]
WILSON 120/120 [0.968981,1.000000]
WILSON 114/120 [0.895197,0.976886]
WILSON 87/120 [0.639070,0.796971]
WILSON 87/90 [0.906527,0.988600]
WILSON 81/120 [0.586902,0.752241]
WILSON 81/90 [0.820758,0.946493]
WILSON 85/120 [0.621558,0.782184]
WILSON 85/90 [0.876463,0.976039]
